Setp Count,Reward,Steps Time,Time to MaxSetp
1501,0.09,30,30
3783,-0.02,76,76
1967,-0.01,39,39
2583,-0.02,52,52
2700,1.38,54,54
3050,-0.02,61,61
1500,-0.01,30,30
383,0.00,8,8
1150,-0.01,23,23
5167,0.07,103,103
317,0.00,6,6
783,0.10,16,16
7767,0.05,155,155
966,0.09,19,19
634,0.10,13,13
1033,-0.01,21,21
1867,0.09,37,37
3766,0.18,75,75
1750,-0.01,35,35
1434,-0.01,29,29
533,0.00,11,11
2050,0.09,41,41
1283,-0.01,26,26
2734,-0.02,55,55
6366,0.16,127,127
8400,0.05,168,168
4234,0.17,85,85
9450,0.04,189,189
2200,-0.01,44,44
6933,0.16,139,139
867,0.09,17,17
483,0.10,10,10
1050,0.09,21,21
1050,-0.01,21,21
1867,0.19,37,37
9900,0.14,198,198
1550,0.09,31,31
1400,0.09,28,28
950,0.09,19,19
9900,0.14,198,198
1966,0.09,39,39
3834,0.18,77,77
5416,0.17,108,108
834,0.00,17,17
2933,-0.02,59,59
2483,1.29,50,50
1184,0.09,24,24
2200,-0.01,44,44
2400,0.09,48,48
4733,0.07,95,95
9900,0.34,198,198
850,-0.01,17,17
1717,0.09,34,34
6733,0.16,135,135
1100,-0.01,22,22
1350,-0.01,27,27
1317,-0.01,26,26
3050,0.08,61,61
983,-0.01,20,20
550,0.00,11,11
1017,-0.01,20,20
1600,-0.01,32,32
2550,0.08,51,51
2683,0.08,54,54
2383,0.09,48,48
900,-0.01,18,18
1184,0.09,24,24
2316,-0.01,46,46
2017,-0.01,40,40
1300,-0.01,26,26
633,0.00,13,13
5650,0.07,113,113
5367,0.07,107,107
3433,0.08,69,69
784,0.00,16,16
1550,0.19,31,31
5183,0.07,104,104
9900,0.24,198,198
500,0.20,10,10
1933,0.29,39,39
1500,-0.01,30,30
1134,-0.01,23,23
1900,0.19,38,38
2100,-0.01,42,42
3683,1.28,74,74
1583,1.29,32,32
750,0.00,15,15
5150,0.37,103,103
2034,-0.01,41,41
3366,0.08,67,67
3450,0.18,69,69
2967,0.08,59,59
1233,0.29,25,25
1100,0.19,22,22
9900,0.04,198,198
700,0.00,14,14
1350,0.09,27,27
650,0.10,13,13
667,0.10,13,13
900,-0.01,18,18
9900,0.14,198,198
4933,-0.03,99,99
917,0.29,18,18
1800,-0.01,36,36
617,0.00,12,12
666,0.10,13,13
9900,-0.06,198,198
1450,0.09,29,29
5417,-0.03,108,108
567,0.00,11,11
6166,0.26,123,123
