Setp Count,Reward,Steps Time,Time to MaxSetp,Stress
4417,0.27,88,88,44
9900,0.24,198,198,99
9900,0.24,198,198,99
9900,0.34,198,198,99
9900,0.04,198,198,99
9900,0.34,198,198,99
4583,0.17,92,92,46
7117,1.46,142,142,71
9900,0.14,198,198,99
250,0.10,5,5,3
9750,1.54,195,195,98
9900,0.14,198,198,99
5150,1.47,103,103,52
3066,1.28,61,61,31
8934,1.25,179,179,89
566,0.20,11,11,6
5950,1.56,119,119,60
9900,0.34,198,198,99
4217,1.47,84,84,42
750,0.20,15,15,8
6850,1.26,137,137,69
3017,0.28,60,60,30
9900,0.14,198,198,99
1750,1.49,35,35,18
1866,1.29,37,37,19
1934,0.29,39,39,19
9900,0.34,198,198,99
9900,0.24,198,198,99
9900,0.24,198,198,99
9900,0.14,198,198,99
2033,0.39,41,41,20
9900,0.44,198,198,99
9900,0.14,198,198,99
5717,1.27,114,114,57
9900,0.14,198,198,99
9900,-0.06,198,198,99
4533,1.27,91,91,45
9900,0.34,198,198,99
9900,-0.06,198,198,99
9900,0.24,198,198,99
767,0.20,15,15,8
9900,0.24,198,198,99
1250,1.29,25,25,13
9900,0.24,198,198,99
566,0.10,11,11,6
600,0.10,12,12,6
9900,0.34,198,198,99
9900,0.14,198,198,99
9900,0.04,198,198,99
617,1.50,12,12,6
600,0.20,12,12,6
517,0.10,10,10,5
9900,0.04,198,198,99
3116,0.08,62,62,31
8167,1.45,163,163,82
9900,0.14,198,198,99
567,0.20,11,11,6
1350,1.29,27,27,14
1083,0.19,22,22,11
1383,0.19,28,28,14
1317,0.29,26,26,13
8817,1.45,176,176,88
5183,1.57,104,104,52
350,0.20,7,7,4
717,0.10,14,14,7
3150,1.28,63,63,32
9900,0.44,198,198,99
1783,1.29,36,36,18
9900,0.14,198,198,99
9900,0.34,198,198,99
9900,0.24,198,198,99
3133,1.38,63,63,31
917,0.19,18,18,9
200,0.30,4,4,2
483,0.10,10,10,5
834,0.19,17,17,8
9900,0.24,198,198,99
3466,1.48,69,69,35
9900,0.24,198,198,99
434,0.20,9,9,4
9900,0.14,198,198,99
1316,1.29,26,26,13
684,0.30,14,14,7
1616,-0.01,32,32,16
9900,0.14,198,198,99
8584,1.25,172,172,86
9900,0.24,198,198,99
9900,0.34,198,198,99
466,0.10,9,9,5
6750,1.26,135,135,68
9900,0.34,198,198,99
1684,0.29,34,34,17
950,0.29,19,19,10
9900,0.24,198,198,99
9900,0.44,198,198,99
4683,0.07,94,94,47
9900,0.24,198,198,99
9900,0.14,198,198,99
450,0.20,9,9,5
4917,1.27,98,98,49
9900,0.34,198,198,99
2700,0.28,54,54,27
583,0.20,12,12,6
9900,0.24,198,198,99
9900,0.34,198,198,99
9900,0.14,198,198,99
2733,0.28,55,55,27
567,0.20,11,11,6
917,0.19,18,18,9
5583,1.47,112,112,56
433,0.20,9,9,4
550,0.10,11,11,6
1434,1.29,29,29,14
9900,0.24,198,198,99
450,0.10,9,9,5
6200,0.16,124,124,62
9900,0.14,198,198,99
3700,1.48,74,74,37
4333,1.37,87,87,43
467,0.20,9,9,5
9900,0.34,198,198,99
6433,0.26,129,129,64
3317,1.38,66,66,33
6233,1.46,125,125,62
183,0.10,4,4,2
9900,-0.06,198,198,99
234,0.10,5,5,2
3483,0.18,70,70,35
2900,0.18,58,58,29
733,0.30,15,15,7
450,0.10,9,9,5
9900,0.44,198,198,99
3650,1.28,73,73,37
1984,1.29,40,40,20
2266,0.49,45,45,23
1284,0.09,26,26,13
533,0.20,11,11,5
6800,1.36,136,136,68
8100,1.35,162,162,81
9900,0.14,198,198,99
3983,1.58,80,80,40
5767,1.47,115,115,58
2767,1.48,55,55,28
1050,1.29,21,21,11
866,1.39,17,17,9
5600,1.37,112,112,56
3234,1.38,65,65,32
2616,1.38,52,52,26
2384,1.49,48,48,24
3966,1.48,79,79,40
9900,0.24,198,198,99
3250,1.38,65,65,33
2450,1.29,49,49,25
9900,0.14,198,198,99
8050,1.55,161,161,81
2500,1.49,50,50,25
784,1.30,16,16,8
9900,0.34,198,198,99
433,0.20,9,9,4
9900,0.44,198,198,99
3333,1.48,67,67,33
9900,0.34,198,198,99
6217,1.46,124,124,62
567,1.30,11,11,6
2283,1.49,46,46,23
567,0.30,11,11,6
3750,0.28,75,75,38
883,0.09,18,18,9
4750,1.27,95,95,48
433,0.20,9,9,4
9900,0.14,198,198,99
9900,0.24,198,198,99
3534,1.38,71,71,35
1333,0.49,27,27,13
5617,0.37,112,112,56
950,0.29,19,19,10
2416,0.09,48,48,24
9900,0.24,198,198,99
1417,0.29,28,28,14
9900,-0.06,198,198,99
633,0.20,13,13,6
3350,1.28,67,67,34
9900,0.44,198,198,99
9900,0.34,198,198,99
317,0.10,6,6,3
300,0.20,6,6,3
1683,1.39,34,34,17
6834,1.26,137,137,68
966,1.29,19,19,10
2817,1.48,56,56,28
1167,0.39,23,23,12
4166,1.48,83,83,42
9900,0.14,198,198,99
967,1.29,19,19,10
550,0.20,11,11,6
2617,0.18,52,52,26
9900,0.44,198,198,99
7833,1.55,157,157,78
3117,1.28,62,62,31
3900,1.28,78,78,39
9900,0.14,198,198,99
1016,0.09,20,20,10
6867,1.36,137,137,69
333,0.10,7,7,3
9067,0.35,181,181,91
9450,1.54,189,189,95
2167,1.39,43,43,22
9900,0.04,198,198,99
9683,1.34,194,194,97
7883,1.45,158,158,79
5834,1.57,117,117,58
9900,0.14,198,198,99
600,0.20,12,12,6
9083,1.45,182,182,91
9900,0.14,198,198,99
9900,0.24,198,198,99
3800,1.28,76,76,38
9900,0.14,198,198,99
9900,-0.06,198,198,99
9900,0.14,198,198,99
9900,-0.06,198,198,99
9900,0.04,198,198,99
5467,1.47,109,109,55
650,0.30,13,13,7
9900,0.24,198,198,99
800,0.20,16,16,8
9900,-0.06,198,198,99
9900,0.34,198,198,99
616,0.30,12,12,6
9900,0.34,198,198,99
9900,0.14,198,198,99
4800,1.27,96,96,48
334,0.20,7,7,3
9900,0.34,198,198,99
9900,0.44,198,198,99
9900,0.14,198,198,99
