Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
684,0.00,14,14,7,33,100
2333,0.39,47,47,23,17,100
2700,0.18,54,54,27,33,100
2967,-0.02,59,59,30,17,100
717,0.00,14,14,7,67,100
5100,-0.03,102,102,51,17,100
1500,0.09,30,30,15,17,100
5016,-0.03,100,100,50,8,100
1067,-0.01,21,21,11,50,100
2267,0.09,45,45,23,50,100
1183,-0.01,24,24,12,4,100
2067,0.19,41,41,21,4,100
850,-0.01,17,17,9,50,100
350,0.10,7,7,4,67,100
350,0.00,7,7,4,7,100
866,-0.01,17,17,9,50,100
1084,-0.01,22,22,11,67,100
3466,-0.02,69,69,35,50,100
2500,0.08,50,50,25,4,100
2034,0.09,41,41,20,67,100
1033,-0.01,21,21,10,83,100
3583,-0.02,72,72,36,50,100
4000,0.08,80,80,40,17,100
1884,0.09,38,38,19,17,100
533,0.10,11,11,5,2,100
733,0.00,15,15,7,33,100
1317,-0.01,26,26,13,33,100
3233,-0.02,65,65,32,83,100
9950,0.14,199,199,100,7,37
1600,0.09,32,32,16,67,100
1017,0.09,20,20,10,33,100
1583,-0.01,32,32,16,33,100
867,0.09,17,17,9,67,100
2900,0.08,58,58,29,1,100
817,0.00,16,16,8,83,100
983,0.09,20,20,10,33,100
1483,0.09,30,30,15,50,100
1100,0.19,22,22,11,33,100
450,0.00,9,9,5,17,100
917,0.09,18,18,9,67,100
3283,-0.02,66,66,33,50,100
1567,-0.01,31,31,16,50,100
8933,0.05,179,179,89,10,100
9950,0.14,199,199,100,9,37
9950,-0.06,199,199,100,3,69
334,0.00,7,7,3,67,100
4033,-0.02,81,81,40,17,100
1083,0.39,22,22,11,2,100
1400,-0.01,28,28,14,33,100
800,0.10,16,16,8,33,100
1067,0.19,21,21,11,50,100
667,0.00,13,13,7,67,100
1616,0.19,32,32,16,50,100
1850,0.09,37,37,19,33,100
934,-0.01,19,19,9,9,100
7416,1.16,148,148,74,4,1
4384,1.17,88,88,44,7,2
1683,0.09,34,34,17,17,100
2633,-0.02,53,53,26,17,100
217,0.00,4,4,2,17,100
5700,0.17,114,114,57,17,100
633,0.00,13,13,6,50,100
934,-0.01,19,19,9,33,100
1216,0.09,24,24,12,67,100
1134,-0.01,23,23,11,50,100
416,0.00,8,8,4,50,100
1550,0.09,31,31,16,5,100
3250,0.08,65,65,33,50,100
6484,0.06,130,130,65,8,100
1166,-0.01,23,23,12,33,100
4384,0.17,88,88,44,6,100
1350,0.09,27,27,14,50,100
450,0.10,9,9,5,33,100
1400,0.09,28,28,14,50,100
2933,0.38,59,59,29,3,100
5667,0.17,113,113,57,33,100
2616,-0.02,52,52,26,83,100
734,0.00,15,15,7,83,100
5900,1.36,118,118,59,4,2
2550,0.08,51,51,26,33,100
933,0.09,19,19,9,33,100
3300,0.18,66,66,33,33,100
2200,-0.01,44,44,22,50,100
450,0.00,9,9,5,17,100
7817,0.05,156,156,78,3,100
3483,1.18,70,70,35,3,3
967,0.09,19,19,10,67,100
3166,0.08,63,63,32,67,100
867,-0.01,17,17,9,6,100
3783,1.18,76,76,38,5,3
7334,1.26,147,147,73,8,2
3266,0.28,65,65,33,33,100
1400,0.09,28,28,14,17,100
1017,-0.01,20,20,10,33,100
450,0.00,9,9,5,67,100
950,0.09,19,19,10,50,100
1283,0.09,26,26,13,33,100
6300,0.06,126,126,63,1,100
6534,0.36,131,131,65,7,100
800,0.10,16,16,8,50,100
2916,0.38,58,58,29,17,100
1317,0.19,26,26,13,17,100
800,0.10,16,16,8,2,100
1067,-0.01,21,21,11,83,100
2100,0.09,42,42,21,50,100
2316,0.19,46,46,23,5,100
1750,0.19,35,35,18,50,100
1084,-0.01,22,22,11,50,100
3733,1.28,75,75,37,4,3
2517,-0.02,50,50,25,33,100
1266,-0.01,25,25,13,83,100
9950,0.14,199,199,100,1,69
617,0.10,12,12,6,67,100
1117,-0.01,22,22,11,83,100
1766,-0.01,35,35,18,33,100
1400,-0.01,28,28,14,33,100
717,0.10,14,14,7,67,100
3883,0.18,78,78,39,6,100
450,0.10,9,9,5,67,100
1067,0.19,21,21,11,33,100
950,-0.01,19,19,10,50,100
1400,-0.01,28,28,14,8,100
3600,0.08,72,72,36,3,100
2150,-0.01,43,43,22,5,100
800,0.00,16,16,8,67,100
817,0.00,16,16,8,17,100
1650,0.19,33,33,17,67,100
9950,0.24,199,199,100,3,35
1566,0.09,31,31,16,50,100
867,0.19,17,17,9,50,100
8583,0.25,172,172,86,33,100
7217,1.16,144,144,72,9,1
1467,0.19,29,29,15,33,100
900,0.09,18,18,9,50,100
5833,1.17,117,117,58,4,2
1150,0.09,23,23,12,50,100
5517,0.27,110,110,55,9,100
2033,0.09,41,41,20,8,100
2183,0.09,44,44,22,67,100
9950,0.24,199,199,100,4,35
2500,0.29,50,50,25,17,100
1934,0.29,39,39,19,33,100
1900,1.19,38,38,19,7,6
1916,0.29,38,38,19,8,100
1984,0.29,40,40,20,17,100
333,0.00,7,7,3,2,100
5483,0.17,110,110,55,33,100
1800,0.29,36,36,18,2,100
1334,0.19,27,27,13,50,100
1516,1.19,30,30,15,3,7
1500,-0.01,30,30,15,33,100
5150,1.27,103,103,52,5,2
2117,1.19,42,42,21,6,5
1800,0.09,36,36,18,33,100
200,1.20,4,4,2,3,55
350,0.10,7,7,4,33,100
9950,0.04,199,199,100,3,73
583,0.10,12,12,6,50,100
9950,-0.06,199,199,100,2,69
1584,0.09,32,32,16,17,100
683,0.10,14,14,7,33,100
9950,0.04,199,199,100,5,73
917,-0.01,18,18,9,67,100
9950,0.24,199,199,100,3,64
2783,1.18,56,56,28,9,4
767,0.10,15,15,8,50,100
2700,1.58,54,54,27,2,5
9600,0.04,192,192,96,9,100
866,0.09,17,17,9,33,100
9950,-0.06,199,199,100,17,110
3000,0.08,60,60,30,17,100
1267,1.49,25,25,13,8,10
817,0.20,16,16,8,50,100
9950,0.24,199,199,100,17,90
400,0.10,8,8,4,67,100
1666,1.19,33,33,17,5,7
9950,0.04,199,199,100,2,35
1150,0.19,23,23,12,5,100
9950,0.04,199,199,100,10,35
9950,0.24,199,199,100,8,35
6550,0.06,131,131,66,17,100
9950,0.04,199,199,100,33,129
9950,0.04,199,199,100,5,73
8767,0.05,175,175,88,10,100
617,0.10,12,12,6,33,100
3483,-0.02,70,70,35,3,100
9950,0.24,199,199,100,6,35
300,1.20,6,6,3,7,37
917,0.09,18,18,9,67,100
1250,0.09,25,25,13,67,100
1933,-0.01,39,39,19,83,100
517,0.00,10,10,5,83,100
566,0.00,11,11,6,67,100
1484,-0.01,30,30,15,67,100
1616,0.09,32,32,16,67,100
450,0.20,9,9,5,33,100
9950,0.04,199,199,100,67,167
550,0.20,11,11,6,50,100
667,0.10,13,13,7,3,100
633,0.10,13,13,6,17,100
1867,0.09,37,37,19,17,100
3000,-0.02,60,60,30,9,100
2333,0.19,47,47,23,50,100
750,0.00,15,15,8,83,100
384,0.10,8,8,4,33,100
3216,0.18,64,64,32,8,100
9950,0.24,199,199,100,9,35
3817,-0.02,76,76,38,50,100
2517,1.38,50,50,25,10,5
5250,0.17,105,105,53,17,100
850,0.09,17,17,9,50,100
2316,0.09,46,46,23,67,100
1234,0.09,25,25,12,17,100
433,0.00,9,9,4,2,100
9950,0.04,199,199,100,3,73
1150,0.09,23,23,12,33,100
1150,-0.01,23,23,12,67,100
9950,0.24,199,199,100,3,35
833,0.00,17,17,8,17,100
817,0.20,16,16,8,50,100
1750,-0.01,35,35,18,33,100
2600,0.38,52,52,26,6,100
9950,0.04,199,199,100,3,35
1833,1.19,37,37,18,9,6
1017,-0.01,20,20,10,17,100
3917,1.28,78,78,39,5,3
466,0.10,9,9,5,3,100
984,0.19,20,20,10,17,100
1466,0.09,29,29,15,83,100
9950,0.14,199,199,100,9,37
9950,0.24,199,199,100,9,35
3867,0.18,77,77,39,9,100
2067,0.19,41,41,21,17,100
5116,0.47,102,102,51,9,100
684,0.20,14,14,7,50,100
9950,0.24,199,199,100,6,35
9950,0.24,199,199,100,5,35
2516,0.38,50,50,25,1,100
9950,0.04,199,199,100,7,73
9950,0.04,199,199,100,9,35
334,0.20,7,7,3,50,100
2983,-0.02,60,60,30,6,100
1200,0.09,24,24,12,17,100
1883,1.39,38,38,19,2,6
9050,0.15,181,181,91,17,100
9950,0.04,199,199,100,9,35
2417,0.09,48,48,24,2,100
1183,0.19,24,24,12,17,100
3484,0.38,70,70,35,10,100
9950,0.04,199,199,100,3,73
1416,0.19,28,28,14,17,100
1434,1.29,29,29,14,8,8
6916,0.26,138,138,69,2,100
784,0.20,16,16,8,50,100
5216,0.07,104,104,52,4,100
3917,0.48,78,78,39,7,100
717,0.10,14,14,7,67,100
1783,0.19,36,36,18,6,100
2283,1.19,46,46,23,3,5
1450,0.19,29,29,15,17,100
867,0.19,17,17,9,33,100
9950,0.04,199,199,100,4,35
350,1.30,7,7,4,6,33
3567,0.08,71,71,36,2,100
3633,-0.02,73,73,36,33,100
8067,0.25,161,161,81,33,100
1116,0.19,22,22,11,50,100
2334,-0.01,47,47,23,67,100
5000,0.17,100,100,50,9,100
9950,0.24,199,199,100,33,111
233,1.20,5,5,2,3,47
9950,0.14,199,199,100,3,69
8100,0.15,162,162,81,17,100
550,0.20,11,11,6,33,100
9950,-0.06,199,199,100,83,195
9400,0.04,188,188,94,50,100
5550,0.07,111,111,56,33,100
8167,1.15,163,163,82,10,1
9950,0.04,199,199,100,9,73
1766,0.39,35,35,18,17,100
1684,0.19,34,34,17,4,100
5733,0.17,115,115,57,33,100
4100,1.18,82,82,41,8,3
3467,0.38,69,69,35,17,100
6550,1.16,131,131,66,9,2
5750,0.17,115,115,58,33,100
700,0.30,14,14,7,17,100
5200,1.27,104,104,52,5,2
8416,1.15,168,168,84,7,1
584,0.30,12,12,6,50,100
883,0.19,18,18,9,33,100
1917,0.19,38,38,19,17,100
4150,1.38,83,83,42,4,3
9950,0.14,199,199,100,9,37
4083,0.08,82,82,41,9,100
1867,1.39,37,37,19,5,6
516,0.20,10,10,5,33,100
500,0.50,10,10,5,7,100
884,1.19,18,18,9,7,12
9950,0.34,199,199,100,9,60
3333,0.28,67,67,33,17,100
2083,0.29,42,42,21,17,100
334,0.20,7,7,3,50,100
9950,0.34,199,199,100,7,60
533,1.20,11,11,5,2,21
917,1.19,18,18,9,10,12
450,0.00,9,9,5,33,100
9950,0.24,199,199,100,7,35
500,0.20,10,10,5,17,100
9950,0.34,199,199,100,7,60
433,0.20,9,9,4,50,100
3550,1.48,71,71,36,6,3
9950,0.24,199,199,100,5,64
1117,0.29,22,22,11,33,100
1250,0.19,25,25,13,50,100
1066,0.19,21,21,11,50,100
3284,0.08,66,66,33,5,100
883,0.19,18,18,9,17,100
467,1.20,9,9,5,5,24
2833,0.38,57,57,28,17,100
500,1.40,10,10,5,3,24
2333,0.29,47,47,23,10,100
1467,1.39,29,29,15,2,8
9950,0.14,199,199,100,10,69
9950,0.14,199,199,100,1,37
8633,0.05,173,173,86,9,100
9950,0.54,199,199,100,7,28
9950,-0.06,199,199,100,5,69
2300,0.29,46,46,23,17,100
9950,0.24,199,199,100,5,35
2034,0.09,41,41,20,67,100
1166,0.39,23,23,12,17,100
1200,0.29,24,24,12,33,100
7500,1.25,150,150,75,4,2
7100,0.26,142,142,71,10,100
634,0.20,13,13,6,50,100
750,0.00,15,15,8,83,100
1416,0.19,28,28,14,3,100
9950,0.04,199,199,100,2,35
9950,0.24,199,199,100,17,90
900,0.09,18,18,9,50,100
9950,0.14,199,199,100,17,97
367,0.20,7,7,4,50,100
3267,0.18,65,65,33,33,100
1333,0.19,27,27,13,33,100
1150,0.09,23,23,12,17,100
767,0.20,15,15,8,50,100
9950,0.04,199,199,100,6,35
2800,1.28,56,56,28,6,4
9950,0.04,199,199,100,17,104
250,1.20,5,5,3,3,44
9950,0.14,199,199,100,17,97
7183,1.36,144,144,72,1,2
9950,0.44,199,199,100,9,30
5600,1.37,112,112,56,1,2
300,0.20,6,6,3,17,100
1283,1.19,26,26,13,10,9
9950,0.04,199,199,100,33,129
6850,0.36,137,137,69,17,100
9950,0.34,199,199,100,1,35
5450,0.37,109,109,55,5,100
1434,0.09,29,29,14,9,100
1116,0.09,22,22,11,33,100
9950,0.14,199,199,100,8,37
684,1.50,14,14,7,6,18
9950,0.14,199,199,100,17,97
9950,0.34,199,199,100,17,83
9950,0.24,199,199,100,4,64
8066,1.15,161,161,81,2,1
2300,1.19,46,46,23,6,5
400,0.20,8,8,4,17,100
3384,1.28,68,68,34,4,3
950,0.29,19,19,10,4,100
2350,1.19,47,47,24,6,5
9950,0.14,199,199,100,6,69
483,1.20,10,10,5,4,23
9950,0.14,199,199,100,5,69
9950,0.14,199,199,100,2,37
9950,0.24,199,199,100,17,90
8033,0.05,161,161,80,5,100
9950,0.04,199,199,100,8,35
467,1.20,9,9,5,2,24
1033,0.29,21,21,10,17,100
317,0.10,6,6,3,9,100
1900,0.19,38,38,19,33,100
9950,0.04,199,199,100,6,73
9950,0.14,199,199,100,33,119
9950,0.24,199,199,100,3,35
9950,0.24,199,199,100,9,35
567,1.20,11,11,6,4,19
9950,0.34,199,199,100,9,60
9950,0.04,199,199,100,50,149
383,0.10,8,8,4,50,100
9950,0.14,199,199,100,6,69
9950,0.14,199,199,100,50,139
8500,0.25,170,170,85,6,100
6450,0.06,129,129,65,6,100
9950,0.24,199,199,100,33,111
1567,0.09,31,31,16,33,100
3366,1.38,67,67,34,4,4
9950,0.04,199,199,100,5,35
2267,0.09,45,45,23,67,100
9950,-0.06,199,199,100,3,69
9950,-0.06,199,199,100,17,110
417,0.20,8,8,4,17,100
2083,0.29,42,42,21,7,100
283,0.20,6,6,3,17,100
9950,-0.06,199,199,100,17,110
884,1.29,18,18,9,4,13
1000,0.19,20,20,10,33,100
233,0.20,5,5,2,50,100
433,1.20,9,9,4,6,25
6767,1.66,135,135,68,7,2
2000,1.29,40,40,20,8,6
1050,0.09,21,21,11,33,100
9567,1.54,191,191,96,3,1
9950,0.04,199,199,100,33,129
316,0.20,6,6,3,33,100
9950,0.34,199,199,100,10,60
9950,0.04,199,199,100,1,73
7100,1.16,142,142,71,4,2
9950,0.34,199,199,100,9,60
284,0.10,6,6,3,50,100
550,0.20,11,11,6,5,100
9950,0.24,199,199,100,6,35
9950,0.14,199,199,100,17,97
300,0.30,6,6,3,17,100
9950,0.04,199,199,100,2,35
9950,0.14,199,199,100,17,97
9950,0.04,199,199,100,7,73
4333,1.37,87,87,43,8,3
9950,0.24,199,199,100,9,35
9950,0.34,199,199,100,17,83
383,0.20,8,8,4,33,100
417,0.20,8,8,4,33,100
4833,1.17,97,97,48,2,2
9950,0.14,199,199,100,9,69
784,0.30,16,16,8,17,100
9950,0.04,199,199,100,8,73
9316,1.34,186,186,93,2,1
9950,0.44,199,199,100,2,30
9950,-0.06,199,199,100,4,69
9950,0.14,199,199,100,50,139
9950,0.04,199,199,100,2,73
267,0.20,5,5,3,17,100
6283,1.26,126,126,63,9,2
334,0.20,7,7,3,50,100
9950,0.24,199,199,100,4,35
9950,0.24,199,199,100,9,35
266,0.10,5,5,3,50,100
750,0.20,15,15,8,33,100
484,0.10,10,10,5,67,100
9950,0.24,199,199,100,33,111
9950,0.14,199,199,100,5,69
650,0.20,13,13,7,9,100
9950,0.34,199,199,100,3,32
9950,0.24,199,199,100,9,35
633,0.30,13,13,6,33,100
600,0.30,12,12,6,17,100
2067,0.19,41,41,21,33,100
350,1.20,7,7,4,8,31
250,0.10,5,5,3,4,100
3116,0.28,62,62,31,5,100
1867,-0.01,37,37,19,33,100
2667,0.38,53,53,27,17,100
466,0.00,9,9,5,33,100
550,0.20,11,11,6,50,100
3584,1.28,72,72,36,7,3
583,0.10,12,12,6,33,100
817,1.30,16,16,8,10,14
9950,0.04,199,199,100,50,149
2383,1.19,48,48,24,7,5
500,0.10,10,10,5,33,100
1117,1.19,22,22,11,5,10
2483,0.09,50,50,25,4,100
250,0.20,5,5,3,50,100
1283,0.09,26,26,13,2,100
217,0.10,4,4,2,17,100
667,0.10,13,13,7,33,100
650,0.10,13,13,7,17,100
9950,0.04,199,199,100,1,35
9950,0.04,199,199,100,10,35
1400,0.29,28,28,14,33,100
9483,1.24,190,190,95,3,1
283,0.10,6,6,3,67,100
250,0.10,5,5,3,17,100
9950,-0.06,199,199,100,6,69
5050,0.07,101,101,51,3,100
1500,0.29,30,30,15,17,100
200,0.20,4,4,2,33,100
1084,0.29,22,22,11,7,100
9950,0.54,199,199,100,6,28
3600,1.48,72,72,36,4,3
4650,0.47,93,93,47,8,100
1733,0.49,35,35,17,7,100
500,0.20,10,10,5,50,100
3600,1.28,72,72,36,10,3
9950,-0.06,199,199,100,2,69
517,0.20,10,10,5,33,100
2683,1.28,54,54,27,4,4
6767,1.26,135,135,68,4,2
9950,0.04,199,199,100,10,35
1033,1.19,21,21,10,4,11
667,0.20,13,13,7,33,100
6900,0.26,138,138,69,9,100
633,0.10,13,13,6,17,100
1267,0.09,25,25,13,17,100
5850,1.26,117,117,59,8,2
9950,0.24,199,199,100,2,35
316,0.20,6,6,3,50,100
1584,0.19,32,32,16,17,100
9950,0.04,199,199,100,5,35
2733,1.28,55,55,27,7,4
233,0.10,5,5,2,5,100
217,0.10,4,4,2,33,100
550,1.20,11,11,6,10,20
1733,0.19,35,35,17,33,100
634,0.20,13,13,6,6,100
9950,0.24,199,199,100,9,64
3016,1.18,60,60,30,5,4
434,1.20,9,9,4,8,25
9950,0.14,199,199,100,4,37
566,0.10,11,11,6,67,100
9950,0.14,199,199,100,2,69
284,0.10,6,6,3,17,100
1700,1.29,34,34,17,5,7
816,0.20,16,16,8,33,100
334,0.10,7,7,3,67,100
3950,1.38,79,79,40,8,3
833,0.19,17,17,8,50,100
350,0.10,7,7,4,50,100
9950,-0.06,199,199,100,17,110
300,0.10,6,6,3,67,100
6050,0.16,121,121,61,7,100
9950,0.24,199,199,100,2,35
3650,0.08,73,73,37,5,100
9950,-0.06,199,199,100,17,110
283,0.00,6,6,3,33,100
417,0.20,8,8,4,3,100
8383,0.15,168,168,84,3,100
4600,0.37,92,92,46,17,100
7084,1.16,142,142,71,5,2
9950,0.14,199,199,100,6,37
4650,0.17,93,93,47,6,100
150,1.20,3,3,2,2,73
266,0.00,5,5,3,67,100
384,0.10,8,8,4,50,100
9950,0.44,199,199,100,4,56
2000,1.19,40,40,20,2,5
9950,0.44,199,199,100,4,30
8566,1.15,171,171,86,7,1
9950,0.14,199,199,100,9,37
9950,-0.06,199,199,100,17,110
350,0.20,7,7,4,17,100
8734,1.45,175,175,87,8,1
9950,0.44,199,199,100,4,30
2500,1.29,50,50,25,3,5
8400,1.15,168,168,84,9,1
450,0.10,9,9,5,17,100
9950,0.24,199,199,100,7,64
9950,0.34,199,199,100,17,83
9950,0.44,199,199,100,10,56
7100,1.36,142,142,71,6,2
9083,0.05,182,182,91,7,100
2517,1.18,50,50,25,6,4
9950,0.04,199,199,100,8,35
9950,0.14,199,199,100,6,69
2683,1.38,54,54,27,8,4
600,0.20,12,12,6,50,100
9950,0.04,199,199,100,8,73
9950,0.04,199,199,100,2,35
367,0.20,7,7,4,4,100
316,0.20,6,6,3,50,100
3084,0.38,62,62,31,17,100
500,0.20,10,10,5,50,100
466,0.20,9,9,5,33,100
1184,1.19,24,24,12,6,9
2183,0.29,44,44,22,17,100
9950,0.14,199,199,100,4,37
4883,1.17,98,98,49,5,2
534,0.20,11,11,5,8,100
2116,1.29,42,42,21,4,5
534,0.20,11,11,5,8,100
7116,1.66,142,142,71,9,2
9950,0.24,199,199,100,1,35
1917,0.19,38,38,19,1,100
300,0.20,6,6,3,33,100
333,0.20,7,7,3,50,100
1750,1.19,35,35,18,7,6
9950,0.14,199,199,100,4,37
9950,0.54,199,199,100,9,28
784,0.20,16,16,8,50,100
333,0.30,7,7,3,17,100
683,0.10,14,14,7,50,100
4600,1.47,92,92,46,6,3
667,0.20,13,13,7,3,100
600,0.20,12,12,6,5,100
900,1.19,18,18,9,8,12
7317,1.46,146,146,73,8,2
350,0.20,7,7,4,50,100
9950,0.44,199,199,100,3,30
450,1.20,9,9,5,6,24
9950,0.24,199,199,100,8,35
2666,1.18,53,53,27,1,4
1934,0.29,39,39,19,33,100
2950,1.28,59,59,30,8,4
7516,1.35,150,150,75,6,2
917,0.29,18,18,9,17,100
383,0.20,8,8,4,50,100
250,0.20,5,5,3,50,100
