Setp Count,Reward,Steps Time,Time to MaxSetp
2717,0.08359979,54.33334,54.33334
234,-0.0014,4.666664,4.666664
1683,-0.01009999,33.66667,33.66667
9500,0.142999,190,190
1783,-0.01069999,35.66666,35.66666
950,-0.005699998,19,19
850,0.0949,17,17
9500,0.1429991,190,190
634,-0.003800001,12.66663,12.66663
5066,0.06959969,101.3334,101.3334
3634,0.1781996,72.66663,72.66663
900,0.09459995,18,18
2466,-0.01479998,49.33337,49.33337
2584,0.1844998,51.66663,51.66663
1083,0.09349989,21.66669,21.66669
800,-0.004799999,16,16
1933,0.08839983,38.66669,38.66669
634,0.09619995,12.66663,12.66663
8016,1.251899,160.3334,160.3334
1734,0.08959998,34.66663,34.66663
3183,0.08089983,63.66675,63.66675
1500,0.09100001,30,30
1933,0.1883999,38.66663,38.66663
3250,-0.01949997,65,65
4717,-0.02829996,94.33337,94.33337
883,-0.005299998,17.66663,17.66663
2867,-0.01719998,57.33337,57.33337
4083,-0.02449997,81.66663,81.66663
3634,0.0781999,72.66663,72.66663
7516,-0.04510019,150.3334,150.3334
2217,-0.01329998,44.33337,44.33337
9500,0.1429991,190,190
9500,0.04299922,190,190
2150,-0.01289999,43,43
833,0.09499993,16.66675,16.66675
134,0.0992,2.666504,2.666504
1200,0.1927999,24,24
900,-0.005399998,18,18
1000,-0.005999997,20,20
150,-0.0009,3,3
3266,-0.01959997,65.3335,65.3335
2450,-0.01469998,49,49
2467,-0.01479998,49.33325,49.33325
2200,-0.01319999,44,44
2833,0.2830018,56.66675,56.66675
2234,0.08659979,44.6665,44.6665
1366,0.09179995,27.3335,27.3335
1100,0.0933999,22,22
1184,-0.007099995,23.6665,23.6665
2566,-0.01539998,51.3335,51.3335
1534,0.1907999,30.6665,30.6665
1033,0.1937999,20.66675,20.66675
933,0.09439998,18.66675,18.66675
4034,0.07579963,80.6665,80.6665
2116,0.08729995,42.3335,42.3335
1634,0.09019999,32.6665,32.6665
4250,-0.02549996,85,85
1133,0.09319989,22.66675,22.66675
9500,0.142999,190,190
2283,0.08630002,45.66675,45.66675
3134,-0.01879998,62.6665,62.6665
9500,-0.05700039,190,190
7000,0.2580021,140,140
4850,0.1708995,97,97
1400,-0.008399993,28,28
566,0.09659995,11.3335,11.3335
9500,0.1429992,190,190
1134,0.09319989,22.6665,22.6665
7283,0.2562993,145.667,145.667
9500,0.1429991,190,190
1983,0.1880999,39.6665,39.6665
1100,0.09339995,22,22
9500,0.04299959,190,190
9500,0.142999,190,190
1034,0.1937999,20.6665,20.6665
8583,1.448504,171.667,171.667
1100,0.0933999,22,22
1517,1.2909,30.33301,30.33301
6483,0.2611027,129.667,129.667
3800,0.2771997,76,76
483,0.09709996,9.666504,9.666504
817,-0.004899999,16.3335,16.3335
9500,0.1429996,190,190
2500,1.485001,50,50
1350,-0.008099994,27,27
500,-0.003,10,10
1700,0.1897999,34,34
1100,0.2934003,22,22
3133,0.08119982,62.6665,62.6665
3984,0.07609961,79.6665,79.6665
2300,0.0862,46,46
5283,1.3683,105.667,105.667
6617,0.2603011,132.333,132.333
3966,1.2762,79.3335,79.3335
4200,0.2747996,84,84
3034,0.08179975,60.6665,60.6665
1716,0.08969983,34.3335,34.3335
4200,1.474802,84,84
8467,1.549204,169.3335,169.3335
217,0.09869999,4.333008,4.333008
1216,-0.007299995,24.3335,24.3335
367,0.1978,7.333496,7.333496
750,0.09549995,15,15
917,0.09449996,18.33301,18.33301
1133,0.1932,22.66699,22.66699
6550,0.1606994,131,131
500,0.09699997,10,10
