Setp Count,Reward,Steps Time,Time to MaxSetp
2684,-0.01619998,53.66667,53.66667
1450,-0.008699993,29,29
1217,-0.007299995,24.33333,24.33333
1200,0.0927999,24,24
3350,-0.02009997,67,67
933,-0.005599998,18.66667,18.66667
667,-0.004000001,13.33333,13.33333
733,-0.0044,14.66667,14.66667
4400,0.07359966,88.00002,88.00002
1900,0.1885998,38,38
2667,1.384002,53.33331,53.33331
1216,-0.007299995,24.33334,24.33334
1050,-0.006299997,21,21
900,-0.005399998,18,18
1284,0.09229987,25.66666,25.66666
1250,-0.007499995,25,25
2916,0.08249986,58.33337,58.33337
3567,0.07859968,71.33331,71.33331
1033,-0.006199997,20.66669,20.66669
9500,0.142999,190,190
6334,0.06199953,126.6666,126.6666
4333,0.3740026,86.66675,86.66675
583,0.1965,11.66663,11.66663
9500,0.04299919,190,190
5617,-0.0337,112.3334,112.3334
2317,0.08609995,46.33325,46.33325
1866,0.1887999,37.33337,37.33337
1450,0.09129987,29,29
1717,-0.01029999,34.33337,34.33337
1167,-0.006999996,23.33325,23.33325
4900,0.07059959,98,98
9500,0.1429993,190,190
3583,-0.02149997,71.66675,71.66675
4883,0.07069951,97.66663,97.66663
2067,-0.01239999,41.33337,41.33337
1583,-0.009499991,31.66675,31.66675
2184,0.08689979,43.6665,43.6665
500,-0.003,10,10
6883,0.05869954,137.6667,137.6667
3283,1.380301,65.66675,65.66675
3217,0.08069968,64.33325,64.33325
4700,0.07179981,94,94
8717,0.04769934,174.3333,174.3333
700,-0.0042,14,14
900,-0.005399998,18,18
1583,-0.009499991,31.66675,31.66675
8067,0.05159934,161.3333,161.3333
1816,0.1890999,36.3335,36.3335
8884,0.04669967,177.6665,177.6665
383,0.09769996,7.666748,7.666748
950,0.09429993,19,19
2067,0.08759996,41.33325,41.33325
883,-0.005299998,17.66675,17.66675
1417,-0.008499993,28.33325,28.33325
983,-0.005899997,19.66675,19.66675
2150,-0.01289999,43,43
9450,0.2432992,189,189
1100,-0.006599996,22,22
967,-0.005799998,19.33325,19.33325
9266,0.04439941,185.3335,185.3335
3534,0.1787997,70.6665,70.6665
2283,-0.01369998,45.66675,45.66675
2417,0.08549977,48.33325,48.33325
866,-0.005199999,17.3335,17.3335
5884,0.06469966,117.6665,117.6665
1233,-0.007399995,24.66675,24.66675
1450,-0.008699993,29,29
1800,0.1891999,36.00024,36.00024
1883,0.08869983,37.6665,37.6665
1600,-0.009599991,32,32
3000,-0.01799998,60,60
1167,-0.006999996,23.3335,23.3335
1800,-0.01079999,36,36
2767,0.2834012,55.33301,55.33301
2333,0.1859998,46.66699,46.66699
4967,-0.02979996,99.33301,99.33301
3800,0.1771999,76,76
1683,-0.01009999,33.66699,33.66699
1117,-0.006699996,22.33301,22.33301
1783,-0.01069999,35.66699,35.66699
2183,0.1868998,43.6665,43.6665
1550,0.09069986,31,31
4067,0.07559989,81.3335,81.3335
800,0.09519994,16,16
800,0.09519994,16,16
9500,0.04299922,190,190
300,-0.0018,6,6
3833,0.07699963,76.6665,76.6665
1334,0.09199987,26.6665,26.6665
583,-0.0035,11.66699,11.66699
1650,0.1900999,33,33
9500,0.1429992,190,190
5067,-0.03039996,101.333,101.333
1716,0.2897003,34.3335,34.3335
2784,0.0832998,55.6665,55.6665
4616,0.07229998,92.3335,92.3335
734,-0.0044,14.6665,14.6665
383,0.1977,7.666992,7.666992
4917,1.370502,98.33301,98.33301
2400,0.08559999,48,48
1333,-0.007999994,26.66699,26.66699
3133,0.1811998,62.6665,62.6665
3367,0.1797997,67.3335,67.3335
900,-0.005399998,18,18
7783,0.1532993,155.6665,155.6665
1434,-0.008599993,28.6665,28.6665
583,-0.0035,11.66699,11.66699
883,-0.005299998,17.6665,17.6665
734,-0.0044,14.6665,14.6665
1550,-0.009299992,31,31
916,-0.005499998,18.3335,18.3335
5600,-0.0336,112,112
434,1.3974,8.666504,8.666504
733,0.09559994,14.66699,14.66699
4450,0.1732998,89,89
2000,0.1879998,40,40
6667,0.1599994,133.333,133.333
783,-0.004699999,15.66699,15.66699
6883,0.1586996,137.6665,137.6665
1817,1.2891,36.3335,36.3335
1483,0.09109992,29.6665,29.6665
4134,1.2752,82.6665,82.6665
700,0.09579997,14,14
733,0.09559994,14.66699,14.66699
6083,0.1634994,121.6665,121.6665
2967,0.1821997,59.3335,59.3335
7933,1.252399,158.6665,158.6665
650,0.09609997,13,13
2000,0.08799992,40,40
9500,0.04299961,190,190
1167,-0.006999996,23.3335,23.3335
1483,0.09109986,29.6665,29.6665
7817,1.353106,156.3335,156.3335
1600,-0.009599991,32,32
4600,0.1723996,92,92
1483,0.09109992,29.6665,29.6665
667,-0.004000001,13.3335,13.3335
9500,0.1429991,190,190
1600,0.1903999,32,32
917,0.09449993,18.33301,18.33301
6916,0.2585041,138.334,138.334
5734,0.1655995,114.666,114.666
9500,0.1429991,190,190
9500,0.04299923,190,190
9500,0.443001,190,190
9500,0.1429991,190,190
6816,0.1590993,136.334,136.334
1650,1.2901,33,33
9500,0.142999,190,190
9500,0.1429991,190,190
934,0.09439997,18.66602,18.66602
2466,0.3852012,49.33398,49.33398
1817,1.489101,36.33301,36.33301
2017,-0.01209999,40.33301,40.33301
5750,0.06549999,115,115
9500,0.4430064,190,190
3816,0.1770996,76.33398,76.33398
650,0.09609994,13,13
2567,0.1846,51.33301,51.33301
4233,1.574601,84.66699,84.66699
2117,1.2873,42.33301,42.33301
1117,1.2933,22.33301,22.33301
9500,0.343004,190,190
9500,0.2430046,190,190
3166,0.2810001,63.33398,63.33398
584,0.09649995,11.66602,11.66602
6866,1.3588,137.334,137.334
1667,0.08999985,33.33301,33.33301
5667,1.266,113.333,113.333
4133,1.575203,82.66699,82.66699
3550,0.07870003,71,71
2733,0.1835997,54.66699,54.66699
1300,1.2922,26,26
5517,1.366903,110.333,110.333
800,0.1951999,16,16
1333,1.392,26.66699,26.66699
3517,0.2789007,70.33301,70.33301
983,0.2941,19.66699,19.66699
1767,1.589401,35.33301,35.33301
550,-0.0033,11,11
9500,0.1429991,190,190
600,0.09639995,12,12
9500,0.3430053,190,190
5217,0.1686996,104.333,104.333
8116,1.551305,162.334,162.334
9500,0.1429991,190,190
9500,0.4430049,190,190
667,0.09599997,13.33301,13.33301
9500,0.4430066,190,190
9500,0.1429991,190,190
3517,1.2789,70.33301,70.33301
1716,0.2897003,34.33398,34.33398
9267,0.1443996,185.333,185.333
5067,0.3696033,101.333,101.333
9500,-0.05700039,190,190
6216,0.1626995,124.334,124.334
9500,0.1429991,190,190
9500,0.0429991,190,190
1034,1.493801,20.66602,20.66602
9500,0.1429991,190,190
9500,0.2430055,190,190
9200,0.2448035,184,184
4283,1.2743,85.66699,85.66699
1683,0.2899004,33.66699,33.66699
500,0.197,10,10
5184,1.368904,103.666,103.666
7683,1.353906,153.667,153.667
3200,1.380802,64,64
1750,1.2895,35,35
1200,0.1928,24,24
9500,0.1429991,190,190
9500,0.3430068,190,190
9500,0.3430066,190,190
1383,0.1916999,27.66699,27.66699
9500,0.04299959,190,190
6284,1.562304,125.666,125.666
3700,1.2778,74,74
9500,0.3430056,190,190
9500,-0.05700039,190,190
9500,0.1429991,190,190
9500,0.1429991,190,190
9500,0.2430059,190,190
9500,0.3430037,190,190
9500,0.1429991,190,190
9500,0.1429991,190,190
1000,0.2940004,20,20
9500,0.3430039,190,190
9500,0.242999,190,190
716,0.1956999,14.33398,14.33398
9500,0.3429996,190,190
2117,0.2873009,42.33398,42.33398
7567,1.454605,151.332,151.332
9500,0.343005,190,190
9500,0.3430068,190,190
616,1.2963,12.33398,12.33398
9450,1.543306,189,189
534,0.1968,10.66602,10.66602
900,0.2946,18,18
9500,0.2429997,190,190
1300,0.1922,26,26
9500,0.4430071,190,190
716,0.1956999,14.33398,14.33398
6067,1.363605,121.334,121.334
9500,0.0429991,190,190
1883,0.1886998,37.66602,37.66602
9500,0.1429991,190,190
9500,0.3430052,190,190
9500,0.2430056,190,190
9500,0.3430068,190,190
1550,0.1906999,31,31
9500,0.3430015,190,190
9500,0.1429991,190,190
9500,0.142999,190,190
1067,0.4936005,21.33398,21.33398
9500,0.3430064,190,190
9500,0.3430072,190,190
9500,0.142999,190,190
9500,0.2430051,190,190
9500,0.3430029,190,190
9500,0.2430004,190,190
3083,0.08149984,61.66602,61.66602
9500,0.1429991,190,190
367,0.1978,7.333984,7.333984
550,0.09669996,11,11
7617,1.454306,152.332,152.332
1150,1.493101,23,23
9500,0.1429991,190,190
4883,1.470703,97.66797,97.66797
3100,1.3814,62,62
350,0.1979,7,7
750,0.1954999,15,15
733,0.09559994,14.66602,14.66602
2167,0.4870016,43.33398,43.33398
9500,0.04299916,190,190
7133,1.257199,142.666,142.666
9500,0.3430065,190,190
1184,0.1928999,23.66602,23.66602
9500,0.2430059,190,190
9500,0.1429991,190,190
1366,0.2918003,27.33398,27.33398
9500,0.2430046,190,190
600,0.1964,12,12
9500,0.1429991,190,190
8750,1.247499,175,175
734,-0.0044,14.66602,14.66602
383,-0.0023,7.667969,7.667969
9500,0.2429991,190,190
9500,0.2429999,190,190
2967,1.2822,59.33203,59.33203
816,0.09509993,16.33398,16.33398
9500,0.243003,190,190
9150,0.1450991,183,183
284,1.2983,5.666016,5.666016
1500,1.391,30,30
9500,0.3430064,190,190
9500,0.04299911,190,190
2400,0.08559976,48,48
616,0.09629995,12.33398,12.33398
317,0.09809998,6.333984,6.333984
9500,-0.05700039,190,190
200,-0.0012,4,4
9500,0.2430011,190,190
433,-0.0026,8.666016,8.666016
567,0.1965999,11.33398,11.33398
900,0.09459995,18,18
9500,0.2430058,190,190
9500,0.2430058,190,190
8133,1.251199,162.666,162.666
934,0.09439993,18.66602,18.66602
5616,0.1662994,112.334,112.334
5367,1.367801,107.334,107.334
1050,0.09369989,21,21
9500,0.142999,190,190
2350,0.08589981,47,47
600,0.09639996,12,12
517,0.09689996,10.33203,10.33203
9500,0.1429991,190,190
366,0.1978,7.333984,7.333984
5567,0.06659992,111.334,111.334
2583,0.384502,51.66602,51.66602
9500,0.2430038,190,190
9500,-0.05700039,190,190
9500,0.2430025,190,190
534,0.1968,10.66602,10.66602
4850,0.2709035,97,97
9500,0.1429991,190,190
683,0.09589994,13.66797,13.66797
5817,1.365101,116.332,116.332
9500,0.1429991,190,190
9500,0.1429991,190,190
9500,0.1429991,190,190
383,0.09769998,7.667969,7.667969
9500,0.2430013,190,190
9500,0.1429991,190,190
3633,0.2782001,72.66602,72.66602
3484,0.1790997,69.66602,69.66602
9500,0.3430046,190,190
533,0.2968003,10.66797,10.66797
483,0.09709997,9.666016,9.666016
9400,1.543607,188,188
9500,0.2430038,190,190
484,0.09709997,9.666016,9.666016
9500,0.142999,190,190
600,0.2964002,12,12
633,0.09619994,12.66797,12.66797
650,0.1960999,13,13
6850,0.05889961,137,137
6567,1.460605,131.332,131.332
9500,0.1429991,190,190
9500,0.142999,190,190
8950,1.446307,179,179
9500,0.1429991,190,190
916,1.2945,18.33398,18.33398
9500,0.04299906,190,190
9500,0.2429991,190,190
9500,0.2430058,190,190
9500,0.2430023,190.002,190.002
9500,0.4430056,190,190
167,-0.0009999999,3.332031,3.332031
6733,1.259599,134.668,134.668
9500,0.3430047,190,190
4934,0.370401,98.66406,98.66406
9500,0.3430041,190,190
7650,1.454105,153,153
9500,0.2430045,190,190
7550,1.254699,151,151
4083,0.1754996,81.66797,81.66797
3250,1.480501,65,65
9500,0.3430059,190,190
1133,0.09319994,22.66797,22.66797
834,0.1949999,16.66406,16.66406
566,0.09659995,11.33594,11.33594
884,0.1947,17.66406,17.66406
2350,1.385901,47,47
5700,1.2658,114,114
1833,0.1889998,36.66797,36.66797
2200,1.386801,44,44
2267,1.2864,45.33203,45.33203
5050,1.369704,101,101
3316,1.480102,66.33594,66.33594
9500,0.2430061,190,190
9500,0.142999,190,190
1884,1.488701,37.66406,37.66406
9500,0.1429991,190,190
500,0.197,10,10
9500,0.3430065,190,190
616,0.2963004,12.33594,12.33594
9500,0.4430062,190,190
9500,0.2430063,190,190
9500,0.4430059,190,190
2534,1.484802,50.66406,50.66406
8683,1.347899,173.668,173.668
9500,0.1429991,190,190
367,0.1978,7.332031,7.332031
9500,0.1429991,190,190
550,0.1966999,11,11
7633,1.454204,152.668,152.668
6283,1.362304,125.668,125.668
9500,0.1429991,190,190
8900,1.546606,178,178
9500,0.3430051,190,190
1267,1.2924,25.33203,25.33203
9500,0.2430061,190,190
9500,0.04299961,190,190
3250,1.2805,65,65
9150,1.445104,183,183
9500,0.2430057,190,190
600,0.2964,12,12
9500,0.2430058,190,190
717,0.1956999,14.33203,14.33203
9500,0.2430059,190,190
8066,1.451604,161.3359,161.3359
3184,0.3809021,63.66406,63.66406
9500,0.2430058,190,190
3533,1.378803,70.66797,70.66797
400,0.1976,8,8
867,0.2948003,17.33203,17.33203
9500,0.1429991,190,190
400,0.09759998,8,8
1183,0.2929001,23.66797,23.66797
400,0.1976,8,8
9500,0.1429991,190,190
367,0.2978002,7.332031,7.332031
9266,1.244399,185.3359,185.3359
2450,1.3853,49,49
817,0.1950999,16.33203,16.33203
9500,0.2430013,190,190
150,-0.0009,3,3
9500,0.1429991,190,190
633,0.1961999,12.66797,12.66797
7334,1.356001,146.6641,146.6641
9500,-0.05700039,190,190
733,1.2956,14.66797,14.66797
9500,0.2429991,190,190
9500,0.1429991,190,190
9500,0.04299904,190,190
9500,0.1429991,190,190
9500,0.3430069,190,190
9500,0.1429991,190,190
467,0.1972,9.332031,9.332031
9500,0.04299906,190,190
9500,0.0429991,190,190
9500,0.1429993,190,190
9500,0.142999,190,190
9500,0.1429991,190,190
933,0.2943999,18.66797,18.66797
9500,0.1429991,190,190
9500,0.2430058,190,190
9500,0.2429994,190,190
9500,0.04299906,190,190
6567,1.260599,131.332,131.332
9500,0.2430062,190,190
9500,0.1429991,190,190
666,0.196,13.33594,13.33594
9500,0.3430068,190,190
9500,0.1429991,190,190
9500,0.2429991,190,190
9500,0.04299906,190,190
384,0.09769997,7.664063,7.664063
316,0.1981,6.335938,6.335938
2517,1.484901,50.33203,50.33203
6617,1.360305,132.332,132.332
1383,0.3917006,27.66797,27.66797
9500,0.1429991,190,190
9500,0.1429991,190,190
9500,0.1429991,190,190
717,0.1956999,14.33203,14.33203
766,0.1954,15.33594,15.33594
9500,0.2430063,190,190
2850,1.382902,57,57
9500,0.2430028,190,190
1067,0.1935999,21.33203,21.33203
350,0.09789998,7,7
3150,0.08109994,63,63
9500,0.142999,190,190
350,0.1979,7,7
9500,0.1429995,190,190
4733,1.2716,94.66797,94.66797
8634,1.548206,172.6641,172.6641
6650,1.2601,133,133
9500,0.4430053,190,190
3200,1.2808,64,64
283,0.09829999,5.667969,5.667969
6717,1.459705,134.332,134.332
9500,0.3429992,190,190
9500,0.1429991,190,190
6700,1.359801,134,134
9500,0.1429991,190,190
800,1.3952,16,16
9500,0.2430049,190,190
366,0.1978,7.335938,7.335938
417,0.1975,8.332031,8.332031
9500,0.1429994,190,190
9500,0.04299922,190,190
9500,0.2430058,190,190
4833,1.571003,96.66797,96.66797
2067,0.4876009,41.33203,41.33203
967,0.2942003,19.33203,19.33203
1333,1.292,26.66797,26.66797
5533,1.2668,110.668,110.668
9500,0.2430013,190,190
9500,0.1429991,190,190
750,1.2955,15,15
634,0.1962,12.66406,12.66406
233,-0.0014,4.667969,4.667969
550,0.09669998,11,11
6900,1.558605,138,138
267,0.1984,5.332031,5.332031
9500,0.2430034,190,190
9500,0.2430027,190,190
383,0.09769998,7.667969,7.667969
1800,0.08919982,36,36
9500,0.1429991,190,190
9500,0.2430046,190,190
6717,0.1596994,134.332,134.332
7316,0.05609927,146.3359,146.3359
9500,0.2430014,190,190
9500,0.3430028,190,190
9500,0.2430058,190,190
9500,0.2430031,190,190
1167,0.2930003,23.33203,23.33203
8867,0.1467996,177.332,177.332
9500,0.1429993,190,190
2516,1.2849,50.33594,50.33594
9500,0.04299907,190,190
534,1.3968,10.66406,10.66406
9500,0.1429991,190,190
366,0.1978,7.335938,7.335938
9500,0.2430016,190,190
9500,0.1429992,190,190
7234,1.256599,144.6641,144.6641
