Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2
7734,0.05,155,155,77,0
1650,0.09,33,33,17,25
883,-0.01,18,18,9,75
400,0.00,8,8,4,75
2567,0.08,51,51,26,25
1483,-0.01,30,30,15,0
717,0.00,14,14,7,25
450,0.00,9,9,5,75
5183,-0.03,104,104,52,50
684,0.10,14,14,7,25
1300,-0.01,26,26,13,25
250,0.00,5,5,3,50
1466,-0.01,29,29,15,25
1867,0.19,37,37,19,0
850,-0.01,17,17,9,75
783,0.00,16,16,8,50
3367,0.18,67,67,34,0
6467,0.06,129,129,65,0
1366,-0.01,27,27,14,25
9900,0.14,198,198,99,0
567,0.00,11,11,6,75
1417,-0.01,28,28,14,0
1066,-0.01,21,21,11,25
9900,0.14,198,198,99,0
3700,0.18,74,74,37,0
1050,0.09,21,21,11,50
1784,0.09,36,36,18,50
700,0.00,14,14,7,75
1350,-0.01,27,27,14,50
4050,0.18,81,81,41,0
1516,0.09,30,30,15,50
2317,0.09,46,46,23,50
1350,-0.01,27,27,14,50
1083,-0.01,22,22,11,50
917,0.09,18,18,9,0
1517,-0.01,30,30,15,25
2300,1.29,46,46,23,0
9900,0.14,198,198,99,0
3483,0.18,70,70,35,25
2117,-0.01,42,42,21,0
1550,-0.01,31,31,16,25
6116,-0.04,122,122,61,25
3217,0.18,64,64,32,0
1317,-0.01,26,26,13,50
1900,0.09,38,38,19,50
5133,-0.03,103,103,51,50
517,0.10,10,10,5,25
566,0.10,11,11,6,0
2517,0.08,50,50,25,0
483,0.00,10,10,5,75
1117,-0.01,22,22,11,25
1567,-0.01,31,31,16,75
1116,-0.01,22,22,11,25
417,0.00,8,8,4,25
1150,-0.01,23,23,12,25
1883,0.19,38,38,19,25
1700,0.09,34,34,17,50
4067,-0.02,81,81,41,50
1800,-0.01,36,36,18,25
817,0.00,16,16,8,50
4633,0.07,93,93,46,0
2717,0.18,54,54,27,0
366,0.00,7,7,4,75
1484,0.09,30,30,15,25
9900,0.24,198,198,99,0
1133,0.09,23,23,11,50
1533,0.09,31,31,15,0
2234,0.09,45,45,22,0
3900,0.18,78,78,39,25
550,0.00,11,11,6,75
1900,0.09,38,38,19,0
1366,0.09,27,27,14,25
1700,-0.01,34,34,17,0
1150,-0.01,23,23,12,50
3684,1.38,74,74,37,0
2716,0.08,54,54,27,50
2117,0.19,42,42,21,25
1767,-0.01,35,35,18,50
666,0.00,13,13,7,25
9900,0.14,198,198,99,0
567,0.00,11,11,6,0
1883,-0.01,38,38,19,0
9900,0.04,198,198,99,0
634,0.10,13,13,6,0
716,0.00,14,14,7,25
3650,0.08,73,73,37,50
1467,-0.01,29,29,15,25
4100,-0.02,82,82,41,0
1267,0.09,25,25,13,0
9900,0.04,198,198,99,0
1516,0.19,30,30,15,25
9900,0.14,198,198,99,0
2134,0.19,43,43,21,25
1633,0.19,33,33,16,0
9900,0.24,198,198,99,0
9900,0.14,198,198,99,0
550,0.00,11,11,6,75
9900,0.14,198,198,99,0
1417,0.09,28,28,14,25
9900,0.24,198,198,99,0
9900,0.24,198,198,99,0
833,0.09,17,17,8,0
3450,0.18,69,69,35,0
7367,0.26,147,147,74,0
9900,0.14,198,198,99,0
800,0.00,16,16,8,50
1450,0.29,29,29,15,0
900,0.09,18,18,9,50
9900,0.24,198,198,99,0
733,0.10,15,15,7,0
6433,1.26,129,129,64,0
9900,0.04,198,198,99,0
6050,1.46,121,121,61,0
9900,0.04,198,198,99,0
5134,1.27,103,103,51,0
1850,0.29,37,37,19,0
7500,0.36,150,150,75,0
966,0.29,19,19,10,0
9900,0.24,198,198,99,0
1367,0.09,27,27,14,25
9717,1.24,194,194,97,0
6166,0.26,123,123,62,0
9900,0.14,198,198,99,25
9900,0.14,198,198,99,0
2267,1.39,45,45,23,0
500,1.30,10,10,5,0
600,0.10,12,12,6,50
1083,1.29,22,22,11,0
417,0.10,8,8,4,50
1267,0.09,25,25,13,25
2100,1.59,42,42,21,0
350,0.10,7,7,4,50
9900,0.44,198,198,99,0
1433,0.19,29,29,14,25
9900,0.04,198,198,99,50
700,0.30,14,14,7,0
1617,1.49,32,32,16,0
2233,1.29,45,45,22,0
267,1.30,5,5,3,0
4183,1.47,84,84,42,0
9900,0.24,198,198,99,0
9900,0.14,198,198,99,0
2050,0.19,41,41,21,25
450,0.20,9,9,5,0
567,0.10,11,11,6,75
9900,0.24,198,198,99,0
9900,0.24,198,198,99,0
900,0.19,18,18,9,0
9883,1.44,198,198,99,0
2183,1.29,44,44,22,0
7950,1.45,159,159,80,0
1984,1.29,40,40,20,0
9900,0.04,198,198,99,0
416,0.10,8,8,4,25
367,0.10,7,7,4,0
700,0.20,14,14,7,0
2067,0.19,41,41,21,25
883,0.19,18,18,9,0
400,0.10,8,8,4,50
583,0.10,12,12,6,25
9767,1.24,195,195,98,0
9900,0.24,198,198,99,0
500,0.10,10,10,5,50
1917,0.19,38,38,19,25
9900,0.14,198,198,99,0
1350,0.19,27,27,14,0
883,0.09,18,18,9,25
9900,0.24,198,198,99,0
300,0.20,6,6,3,0
650,0.20,13,13,7,0
267,0.20,5,5,3,0
600,0.10,12,12,6,25
9900,0.24,198,198,99,0
6200,0.06,124,124,62,0
4250,0.27,85,85,43,0
833,0.19,17,17,8,25
8267,0.05,165,165,83,25
616,0.20,12,12,6,0
300,0.10,6,6,3,50
8117,1.35,162,162,81,0
3300,0.18,66,66,33,0
2367,0.09,47,47,24,0
450,0.00,9,9,5,50
633,0.10,13,13,6,0
9900,0.24,198,198,99,0
1867,0.19,37,37,19,25
383,0.10,8,8,4,0
833,0.09,17,17,8,0
334,0.10,7,7,3,25
933,0.09,19,19,9,0
9900,0.34,198,198,99,0
8267,0.25,165,165,83,0
650,0.10,13,13,7,25
333,0.10,7,7,3,50
317,0.10,6,6,3,0
9900,0.24,198,198,99,0
9900,0.14,198,198,99,25
550,0.10,11,11,6,50
9900,0.34,198,198,99,0
1733,1.29,35,35,17,0
9900,-0.06,198,198,99,0
9900,0.24,198,198,99,0
9900,0.24,198,198,99,0
9900,0.24,198,198,99,0
9900,0.24,198,198,99,0
5500,-0.03,110,110,55,0
517,0.10,10,10,5,0
450,0.00,9,9,5,75
2350,0.19,47,47,24,0
566,0.00,11,11,6,75
550,0.20,11,11,6,0
500,0.10,10,10,5,25
834,0.19,17,17,8,0
1466,0.19,29,29,15,25
434,0.10,9,9,4,50
5983,1.46,120,120,60,0
750,0.20,15,15,8,0
767,1.40,15,15,8,0
9050,1.45,181,181,91,0
1483,1.29,30,30,15,0
9900,0.04,198,198,99,0
9900,-0.06,198,198,99,0
9900,0.24,198,198,99,0
517,0.20,10,10,5,0
9900,0.24,198,198,99,0
550,0.10,11,11,6,25
2850,0.28,57,57,29,0
2100,1.39,42,42,21,0
9900,0.34,198,198,99,0
633,0.10,13,13,6,0
9900,0.04,198,198,99,0
2733,1.28,55,55,27,0
5034,1.27,101,101,50,0
9900,0.34,198,198,99,0
466,0.10,9,9,5,0
9900,0.24,198,198,99,0
417,0.10,8,8,4,50
500,0.10,10,10,5,25
6550,1.36,131,131,66,0
6233,1.26,125,125,62,0
9900,0.24,198,198,99,0
9900,0.14,198,198,99,0
3450,0.18,69,69,35,0
9900,0.24,198,198,99,0
9284,1.24,186,186,93,0
9900,0.14,198,198,99,0
9900,0.14,198,198,99,0
9900,0.24,198,198,99,0
400,0.10,8,8,4,50
3450,0.18,69,69,35,0
9900,0.14,198,198,99,0
500,0.10,10,10,5,25
3916,-0.02,78,78,39,50
1817,0.29,36,36,18,0
617,0.10,12,12,6,50
1066,-0.01,21,21,11,0
9900,0.04,198,198,99,50
434,1.30,9,9,4,0
9900,0.14,198,198,99,0
283,0.10,6,6,3,0
817,0.10,16,16,8,50
533,0.10,11,11,5,0
9900,-0.06,198,198,99,0
9900,-0.06,198,198,99,75
9900,0.04,198,198,99,0
667,0.20,13,13,7,0
9900,0.24,198,198,99,0
6116,0.46,122,122,61,0
9900,0.14,198,198,99,0
9900,0.04,198,198,99,0
500,0.10,10,10,5,50
634,0.10,13,13,6,25
6333,0.06,127,127,63,25
9900,-0.06,198,198,99,0
4767,-0.03,95,95,48,0
4383,1.27,88,88,44,0
417,0.10,8,8,4,50
9900,0.14,198,198,99,0
9900,0.34,198,198,99,0
700,0.10,14,14,7,25
500,0.00,10,10,5,0
2150,0.19,43,43,22,25
8950,1.45,179,179,90,0
350,0.20,7,7,4,0
9900,0.14,198,198,99,0
8966,1.25,179,179,90,0
7800,1.45,156,156,78,0
9317,1.24,186,186,93,0
9900,0.24,198,198,99,0
3200,1.38,64,64,32,0
1983,0.19,40,40,20,0
2417,0.29,48,48,24,0
