Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
867,-0.01,17,17,9,33,100
7367,0.16,147,147,74,5,100
4717,0.07,94,94,47,17,100
466,0.00,9,9,5,33,100
3700,-0.02,74,74,37,17,100
1717,-0.01,34,34,17,9,100
2517,0.18,50,50,25,10,100
1266,-0.01,25,25,13,3,100
650,0.00,13,13,7,17,100
1200,0.19,24,24,12,50,100
1434,-0.01,29,29,14,67,100
4266,-0.03,85,85,43,17,100
934,-0.01,19,19,9,17,100
1100,0.09,22,22,11,6,100
683,0.00,14,14,7,83,100
3400,0.18,68,68,34,8,100
1717,-0.01,34,34,17,50,100
516,0.10,10,10,5,50,100
550,0.00,11,11,6,50,100
617,0.00,12,12,6,67,100
950,-0.01,19,19,10,83,100
2517,0.08,50,50,25,17,100
683,0.00,14,14,7,83,100
5917,0.06,118,118,59,10,100
2966,-0.02,59,59,30,50,100
1267,-0.01,25,25,13,1,100
1650,-0.01,33,33,17,33,100
5167,-0.03,103,103,52,17,100
833,0.00,17,17,8,33,100
1317,-0.01,26,26,13,33,100
3983,-0.02,80,80,40,17,100
9900,0.04,198,198,99,2,35
1250,0.09,25,25,13,50,100
2283,0.09,46,46,23,1,100
1100,-0.01,22,22,11,33,100
1384,0.09,28,28,14,67,100
1050,-0.01,21,21,11,33,100
7683,1.25,154,154,77,5,1
583,0.00,12,12,6,83,100
967,-0.01,19,19,10,67,100
3133,0.08,63,63,31,3,100
4917,0.07,98,98,49,9,100
1717,0.19,34,34,17,50,100
583,0.00,12,12,6,17,100
2733,-0.02,55,55,27,7,100
4567,0.07,91,91,46,7,100
5083,0.07,102,102,51,7,100
467,0.00,9,9,5,50,100
1733,-0.01,35,35,17,50,100
1550,0.29,31,31,16,8,100
1700,0.09,34,34,17,9,100
1984,0.09,40,40,20,50,100
516,0.00,10,10,5,83,100
684,0.00,14,14,7,33,100
5483,1.17,110,110,55,7,2
9900,0.04,198,198,99,2,35
4600,0.07,92,92,46,17,100
2500,0.08,50,50,25,50,100
2400,-0.01,48,48,24,5,100
1500,0.19,30,30,15,33,100
3317,-0.02,66,66,33,2,100
1916,-0.01,38,38,19,17,100
7967,0.25,159,159,80,33,100
4000,0.18,80,80,40,7,100
3550,-0.02,71,71,36,17,100
1650,0.09,33,33,17,33,100
1800,-0.01,36,36,18,50,100
9900,0.04,198,198,99,9,35
2200,-0.01,44,44,22,6,100
367,0.00,7,7,4,67,100
4683,1.37,94,94,47,5,3
9350,-0.06,187,187,94,9,100
3900,0.08,78,78,39,9,100
1467,-0.01,29,29,15,50,100
2050,-0.01,41,41,21,3,100
9900,0.14,198,198,99,4,37
1166,-0.01,23,23,12,33,100
767,0.00,15,15,8,67,100
1833,0.09,37,37,18,83,100
834,0.00,17,17,8,33,100
2766,-0.02,55,55,28,67,100
1034,-0.01,21,21,10,50,100
766,0.00,15,15,8,17,100
750,0.00,15,15,8,67,100
717,0.30,14,14,7,33,100
983,-0.01,20,20,10,83,100
1600,0.09,32,32,16,17,100
517,0.00,10,10,5,33,100
950,0.09,19,19,10,50,100
4250,0.07,85,85,43,2,100
567,0.00,11,11,6,33,100
1800,-0.01,36,36,18,50,100
5083,0.07,102,102,51,50,100
7433,0.06,149,149,74,17,100
667,0.10,13,13,7,50,100
1683,1.29,34,34,17,5,7
3117,0.08,62,62,31,17,100
483,0.00,10,10,5,83,100
9717,0.14,194,194,97,17,100
