Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
1601,-0.01,32,32,16,4,100
1350,0.09,27,27,14,50,100
533,0.10,11,11,5,50,100
667,0.00,13,13,7,83,100
666,0.00,13,13,7,67,100
1800,0.29,36,36,18,17,100
7534,1.15,151,151,75,7,1
1050,-0.01,21,21,11,50,100
950,-0.01,19,19,10,67,100
1533,-0.01,31,31,15,9,100
5967,0.06,119,119,60,2,100
6916,1.16,138,138,69,9,2
1950,0.09,39,39,20,33,100
1467,-0.01,29,29,15,2,100
1050,0.09,21,21,11,67,100
917,0.09,18,18,9,9,100
1533,-0.01,31,31,15,67,100
1317,-0.01,26,26,13,50,100
1900,0.09,38,38,19,10,100
3733,0.18,75,75,37,6,100
2667,0.08,53,53,27,2,100
2950,-0.02,59,59,30,17,100
5650,0.07,113,113,57,4,100
1950,0.09,39,39,20,2,100
1200,-0.01,24,24,12,33,100
366,0.00,7,7,4,67,100
7550,1.15,151,151,76,6,1
9900,0.04,198,198,99,6,73
1667,-0.01,33,33,17,50,100
700,0.00,14,14,7,83,100
1000,-0.01,20,20,10,3,100
1633,-0.01,33,33,16,50,100
9900,-0.06,198,198,99,1,69
5067,0.07,101,101,51,2,100
8217,-0.05,164,164,82,33,100
1483,-0.01,30,30,15,6,100
2900,0.08,58,58,29,5,100
4350,0.17,87,87,44,50,100
3300,0.08,66,66,33,10,100
633,0.00,13,13,6,67,100
1784,-0.01,36,36,18,8,100
2233,-0.01,45,45,22,33,100
333,0.00,7,7,3,67,100
517,0.10,10,10,5,10,100
9900,0.04,198,198,99,9,35
6167,-0.04,123,123,62,33,100
966,-0.01,19,19,10,7,100
2750,0.08,55,55,28,2,100
550,0.00,11,11,6,83,100
2217,-0.01,44,44,22,17,100
7950,0.05,159,159,80,7,100
417,0.00,8,8,4,67,100
2433,-0.01,49,49,24,50,100
2367,-0.01,47,47,24,1,100
2250,-0.01,45,45,23,33,100
1383,-0.01,28,28,14,17,100
533,0.00,11,11,5,17,100
9900,0.14,198,198,99,2,37
3967,0.08,79,79,40,17,100
2900,0.08,58,58,29,50,100
1767,0.09,35,35,18,50,100
533,0.00,11,11,5,2,100
1333,-0.01,27,27,13,17,100
1334,-0.01,27,27,13,50,100
450,0.00,9,9,5,50,100
966,-0.01,19,19,10,50,100
8550,0.05,171,171,86,2,100
2500,0.09,50,50,25,33,100
884,-0.01,18,18,9,33,100
2100,0.09,42,42,21,50,100
9900,0.04,198,198,99,1,35
216,0.10,4,4,2,33,100
1584,-0.01,32,32,16,50,100
2983,0.08,60,60,30,6,100
9900,0.04,198,198,99,4,35
9900,0.14,198,198,99,50,139
950,-0.01,19,19,10,17,100
7717,0.15,154,154,77,33,100
4366,-0.03,87,87,44,10,100
1350,-0.01,27,27,14,17,100
9900,-0.06,198,198,99,33,139
600,0.00,12,12,6,33,100
9900,0.04,198,198,99,3,73
1834,0.09,37,37,18,33,100
9900,0.14,198,198,99,8,37
4133,-0.02,83,83,41,3,100
717,0.10,14,14,7,50,100
716,0.00,14,14,7,83,100
917,0.09,18,18,9,67,100
450,0.00,9,9,5,17,100
4083,1.28,82,82,41,4,3
9900,-0.06,198,198,99,6,69
9900,-0.06,198,198,99,17,110
9900,0.04,198,198,99,17,104
650,0.10,13,13,7,67,100
1367,1.19,27,27,14,2,8
1167,0.19,23,23,12,33,100
950,-0.01,19,19,10,67,100
1333,0.19,27,27,13,50,100
917,-0.01,18,18,9,67,100
1516,0.19,30,30,15,17,100
1034,0.19,21,21,10,67,100
6550,-0.04,131,131,66,67,100
1050,-0.01,21,21,11,50,100
1066,-0.01,21,21,11,5,100
534,0.00,11,11,5,83,100
9900,0.04,198,198,99,3,35
9900,0.04,198,198,99,50,149
1133,0.09,23,23,11,50,100
1417,-0.01,28,28,14,83,100
7600,-0.05,152,152,76,33,100
3116,-0.02,62,62,31,83,100
2917,0.18,58,58,29,2,100
450,0.00,9,9,5,83,100
9900,0.04,198,198,99,6,73
2283,0.09,46,46,23,50,100
1017,0.09,20,20,10,17,100
6067,0.06,121,121,61,7,100
2683,-0.02,54,54,27,67,100
1567,-0.01,31,31,16,17,100
4650,0.27,93,93,47,17,100
3116,0.08,62,62,31,33,100
467,0.00,9,9,5,50,100
8783,0.05,176,176,88,5,100
917,-0.01,18,18,9,67,100
1400,0.09,28,28,14,50,100
9900,0.14,198,198,99,6,37
433,0.10,9,9,4,50,100
967,-0.01,19,19,10,33,100
1117,-0.01,22,22,11,17,100
966,0.09,19,19,10,50,100
300,0.00,6,6,3,33,100
2100,0.09,42,42,21,2,100
5700,0.07,114,114,57,1,100
967,-0.01,19,19,10,6,100
550,0.00,11,11,6,83,100
450,0.10,9,9,5,33,100
4317,-0.03,86,86,43,50,100
700,0.00,14,14,7,17,100
2933,0.18,59,59,29,17,100
1383,1.19,28,28,14,5,8
2600,-0.02,52,52,26,33,100
3617,0.08,72,72,36,2,100
567,0.10,11,11,6,50,100
450,0.10,9,9,5,33,100
1650,0.09,33,33,17,50,100
9900,0.24,198,198,99,17,90
9900,0.24,198,198,99,4,35
7833,0.15,157,157,78,8,100
2600,0.08,52,52,26,4,100
1483,-0.01,30,30,15,7,100
9900,0.04,198,198,99,5,35
1784,0.09,36,36,18,67,100
2183,0.09,44,44,22,50,100
1000,0.09,20,20,10,33,100
1017,-0.01,20,20,10,33,100
7000,0.26,140,140,70,4,100
9900,0.14,198,198,99,8,37
