Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
2301,0.09,46,46,23,17,100
2166,-0.01,43,43,22,67,100
3284,-0.02,66,66,33,67,100
1566,0.19,31,31,16,6,100
1084,-0.01,22,22,11,83,100
2650,0.08,53,53,27,67,100
5433,-0.03,109,109,54,4,100
9950,0.04,199,199,100,4,35
317,0.00,6,6,3,83,100
633,0.00,13,13,6,83,100
1200,-0.01,24,24,12,33,100
283,0.00,6,6,3,83,100
950,-0.01,19,19,10,17,100
1867,-0.01,37,37,19,33,100
567,0.00,11,11,6,50,100
1850,-0.01,37,37,19,33,100
783,0.00,16,16,8,50,100
9950,0.14,199,199,100,2,69
1117,-0.01,22,22,11,17,100
950,-0.01,19,19,10,4,100
833,0.00,17,17,8,33,100
517,0.10,10,10,5,50,100
9150,0.05,183,183,92,7,100
1383,0.09,28,28,14,33,100
5083,0.07,102,102,51,67,100
2334,0.09,47,47,23,67,100
1500,-0.01,30,30,15,67,100
700,0.00,14,14,7,17,100
9950,-0.06,199,199,100,6,69
333,0.00,7,7,3,83,100
9950,0.04,199,199,100,4,35
9950,0.04,199,199,100,17,104
150,1.20,3,3,2,5,73
667,0.00,13,13,7,67,100
2566,-0.02,51,51,26,4,100
200,0.00,4,4,2,50,100
1634,-0.01,33,33,16,17,100
9950,0.04,199,199,100,7,35
2566,0.08,51,51,26,33,100
3084,1.28,62,62,31,6,4
1316,0.09,26,26,13,67,100
1034,-0.01,21,21,10,50,100
1900,-0.01,38,38,19,17,100
1683,-0.01,34,34,17,10,100
2600,-0.02,52,52,26,6,100
3500,0.08,70,70,35,50,100
1850,-0.01,37,37,19,67,100
4033,0.08,81,81,40,17,100
1284,0.29,26,26,13,33,100
583,0.00,12,12,6,17,100
2933,0.08,59,59,29,33,100
1550,0.19,31,31,16,50,100
884,-0.01,18,18,9,17,100
9950,-0.06,199,199,100,2,69
1216,-0.01,24,24,12,83,100
2167,0.19,43,43,22,50,100
8367,0.05,167,167,84,3,100
883,0.09,18,18,9,50,100
3433,-0.02,69,69,34,17,100
817,0.00,16,16,8,17,100
1900,-0.01,38,38,19,83,100
1300,-0.01,26,26,13,67,100
450,0.10,9,9,5,17,100
5983,1.16,120,120,60,1,2
2284,0.19,46,46,23,17,100
650,0.00,13,13,7,83,100
1300,0.19,26,26,13,50,100
6633,0.16,133,133,66,17,100
1867,-0.01,37,37,19,83,100
2366,-0.01,47,47,24,33,100
3900,-0.02,78,78,39,5,100
1184,1.29,24,24,12,2,10
1350,0.09,27,27,14,50,100
1116,-0.01,22,22,11,67,100
950,-0.01,19,19,10,67,100
1667,-0.01,33,33,17,83,100
4867,-0.03,97,97,49,50,100
2716,0.08,54,54,27,33,100
2450,0.19,49,49,25,7,100
8767,0.05,175,175,88,7,100
967,-0.01,19,19,10,83,100
2916,0.18,58,58,29,7,100
1550,0.09,31,31,16,17,100
4634,0.17,93,93,46,50,100
483,0.00,10,10,5,33,100
3283,0.08,66,66,33,33,100
9684,0.14,194,194,97,8,100
5650,0.07,113,113,57,17,100
9950,0.14,199,199,100,5,37
1316,-0.01,26,26,13,17,100
2017,-0.01,40,40,20,83,100
9950,0.24,199,199,100,7,35
1183,0.09,24,24,12,67,100
9950,0.04,199,199,100,2,35
3784,0.08,76,76,38,67,100
1166,0.09,23,23,12,33,100
9684,0.04,194,194,97,17,100
683,0.30,14,14,7,33,100
1500,0.19,30,30,15,17,100
9950,0.24,199,199,100,7,35
9950,0.14,199,199,100,8,37
9950,0.14,199,199,100,50,139
9950,0.24,199,199,100,3,35
2517,0.08,50,50,25,50,100
4116,1.28,82,82,41,7,3
9950,0.14,199,199,100,3,69
2200,0.09,44,44,22,7,100
9950,0.04,199,199,100,50,149
9950,-0.06,199,199,100,1,69
9950,0.24,199,199,100,17,90
9950,0.04,199,199,100,7,73
1617,0.09,32,32,16,33,100
1017,0.19,20,20,10,50,100
633,0.20,13,13,6,50,100
3600,1.18,72,72,36,5,3
733,0.10,15,15,7,67,100
9950,0.04,199,199,100,10,35
9950,0.24,199,199,100,10,35
3750,0.08,75,75,38,67,100
650,0.10,13,13,7,17,100
9950,0.14,199,199,100,10,37
9950,0.14,199,199,100,6,69
9950,0.24,199,199,100,17,90
717,0.20,14,14,7,50,100
1317,0.19,26,26,13,17,100
9950,0.04,199,199,100,17,104
7750,1.15,155,155,78,5,1
4766,1.37,95,95,48,9,2
3517,1.58,70,70,35,5,4
9950,0.14,199,199,100,3,69
9950,1.44,199,199,100,6,1
600,0.20,12,12,6,50,100
1833,1.19,37,37,18,3,6
3100,0.08,62,62,31,17,100
550,0.20,11,11,6,9,100
9950,0.14,199,199,100,4,69
467,1.20,9,9,5,8,24
2583,0.18,52,52,26,3,100
1767,0.09,35,35,18,33,100
8700,1.65,174,174,87,9,2
9533,1.34,191,191,95,2,1
9950,0.24,199,199,100,17,90
6567,1.66,131,131,66,9,2
9950,0.14,199,199,100,9,37
7817,1.15,156,156,78,8,1
800,0.10,16,16,8,67,100
6566,1.46,131,131,66,6,2
934,0.09,19,19,9,33,100
2316,1.19,46,46,23,6,5
767,0.20,15,15,8,50,100
8250,1.15,165,165,83,10,1
5133,0.07,103,103,51,2,100
9950,0.04,199,199,100,4,35
650,0.10,13,13,7,17,100
650,0.10,13,13,7,50,100
917,0.19,18,18,9,33,100
517,0.10,10,10,5,67,100
9950,0.14,199,199,100,8,37
600,0.10,12,12,6,67,100
9950,0.54,199,199,100,8,28
2166,0.59,43,43,22,6,100
9950,0.24,199,199,100,8,35
1484,0.29,30,30,15,17,100
633,0.10,13,13,6,1,100
2967,0.28,59,59,30,33,100
9950,0.24,199,199,100,2,35
416,0.20,8,8,4,33,100
300,1.20,6,6,3,7,37
9950,0.04,199,199,100,17,104
9950,0.24,199,199,100,17,90
5084,1.27,102,102,51,6,2
1666,0.19,33,33,17,33,100
767,1.30,15,15,8,2,15
5717,1.17,114,114,57,5,2
2533,0.48,51,51,25,8,100
2333,0.19,47,47,23,9,100
9950,0.14,199,199,100,10,37
6784,1.66,136,136,68,2,2
283,0.10,6,6,3,50,100
250,1.20,5,5,3,8,44
1000,0.19,20,20,10,50,100
9950,0.44,199,199,100,7,30
6733,1.16,135,135,67,7,2
567,0.20,11,11,6,50,100
5933,0.06,119,119,59,33,100
9950,0.44,199,199,100,8,30
317,1.20,6,6,3,2,35
9950,0.04,199,199,100,33,129
9950,0.04,199,199,100,3,35
9950,0.34,199,199,100,4,32
3317,1.28,66,66,33,7,3
9950,0.24,199,199,100,5,35
150,1.20,3,3,2,2,73
366,0.10,7,7,4,33,100
9950,0.04,199,199,100,3,35
7517,0.25,150,150,75,8,100
283,0.00,6,6,3,17,100
1084,1.29,22,22,11,5,11
9950,0.44,199,199,100,7,56
