Setp Count,Reward,Steps Time,Time to MaxSetp,Stress,Stress2,Stress3
4151,1.18,83,83,42,4,3
2083,0.19,42,42,21,17,100
9900,0.14,198,198,99,2,14
2717,0.08,54,54,27,67,100
2383,0.09,48,48,24,3,100
967,-0.01,19,19,10,5,100
1450,-0.01,29,29,15,67,100
1466,-0.01,29,29,15,83,100
9900,0.04,198,198,99,8,4
3084,0.08,62,62,31,9,100
3300,-0.02,66,66,33,2,100
3650,0.18,73,73,37,17,100
3766,-0.02,75,75,38,7,100
850,0.09,17,17,9,50,100
967,0.09,19,19,10,50,100
483,0.00,10,10,5,83,100
1350,-0.01,27,27,14,33,100
1550,-0.01,31,31,16,33,100
1034,0.09,21,21,10,17,100
9583,0.04,192,192,96,8,100
9900,0.04,198,198,99,5,4
1117,-0.01,22,22,11,17,100
4850,0.47,97,97,49,7,100
3850,0.08,77,77,39,4,100
3900,1.18,78,78,39,7,3
1066,-0.01,21,21,11,50,100
700,0.10,14,14,7,50,100
1467,0.09,29,29,15,67,100
3083,-0.02,62,62,31,83,100
1700,0.09,34,34,17,67,100
600,0.10,12,12,6,50,100
5484,1.17,110,110,55,9,2
850,0.09,17,17,9,50,100
1950,-0.01,39,39,20,33,100
2550,0.08,51,51,26,17,100
4383,1.37,88,88,44,2,3
1233,-0.01,25,25,12,67,100
3734,0.18,75,75,37,2,100
800,0.00,16,16,8,33,100
916,0.09,18,18,9,67,100
2917,0.08,58,58,29,9,100
1383,-0.01,28,28,14,33,100
6017,0.06,120,120,60,8,100
267,0.00,5,5,3,83,100
4933,-0.03,99,99,49,33,100
1283,0.29,26,26,13,50,100
2134,1.19,43,43,21,3,5
3766,-0.02,75,75,38,4,100
6900,0.06,138,138,69,5,100
9900,0.34,198,198,99,1,34
6000,0.26,120,120,60,10,100
2967,0.18,59,59,30,50,100
1300,-0.01,26,26,13,50,100
2983,0.18,60,60,30,17,100
800,0.00,16,16,8,33,100
8167,0.35,163,163,82,3,100
9900,0.24,198,198,99,9,24
3883,0.18,78,78,39,9,100
2834,0.08,57,57,28,3,100
3700,0.08,74,74,37,3,100
1450,-0.01,29,29,15,33,100
3200,0.08,64,64,32,33,100
816,0.00,16,16,8,67,100
7350,0.06,147,147,74,6,100
234,0.20,5,5,2,33,100
8633,0.05,173,173,86,7,100
733,0.00,15,15,7,33,100
9900,0.14,198,198,99,8,14
1700,-0.01,34,34,17,67,100
1534,-0.01,31,31,15,83,100
9900,0.04,198,198,99,50,4
2233,0.09,45,45,22,33,100
8750,0.25,175,175,88,2,100
9900,-0.06,198,198,99,33,6
417,0.10,8,8,4,67,100
5383,1.17,108,108,54,6,2
1783,0.09,36,36,18,67,100
5684,0.07,114,114,57,50,100
550,0.00,11,11,6,17,100
6616,0.16,132,132,66,50,100
2567,0.18,51,51,26,17,100
883,0.09,18,18,9,50,100
1250,0.09,25,25,13,67,100
717,0.00,14,14,7,33,100
9900,-0.06,198,198,99,2,6
3450,0.08,69,69,35,17,100
1150,-0.01,23,23,12,5,100
7267,1.16,145,145,73,3,1
883,0.09,18,18,9,67,100
1517,-0.01,30,30,15,3,100
1333,-0.01,27,27,13,17,100
5367,1.17,107,107,54,5,2
3583,0.28,72,72,36,2,100
583,0.00,12,12,6,83,100
8134,-0.05,163,163,81,17,100
9900,0.04,198,198,99,6,4
1550,0.09,31,31,16,67,100
9900,0.34,198,198,99,9,34
1383,0.19,28,28,14,50,100
1783,0.29,36,36,18,33,100
767,0.10,15,15,8,33,100
550,0.00,11,11,6,67,100
317,0.40,6,6,3,50,100
1466,0.09,29,29,15,4,100
1067,0.09,21,21,11,67,100
7833,0.05,157,157,78,9,100
450,0.10,9,9,5,67,100
8050,0.15,161,161,81,5,100
567,0.10,11,11,6,33,100
517,0.00,10,10,5,33,100
566,0.00,11,11,6,50,100
9900,0.04,198,198,99,7,4
3417,0.18,68,68,34,17,100
667,0.10,13,13,7,50,100
583,0.00,12,12,6,33,100
9900,0.24,198,198,99,17,24
9900,-0.06,198,198,99,8,6
9900,0.04,198,198,99,2,4
9900,-0.06,198,198,99,50,6
9900,0.04,198,198,99,67,4
1283,0.09,26,26,13,33,100
9200,1.14,184,184,92,2,1
900,-0.01,18,18,9,67,100
9900,0.24,198,198,99,17,24
2884,0.18,58,58,29,17,100
1283,-0.01,26,26,13,50,100
2267,0.29,45,45,23,33,100
1033,0.19,21,21,10,50,100
500,0.10,10,10,5,50,100
933,0.09,19,19,9,50,100
3317,1.18,66,66,33,9,3
367,0.00,7,7,4,33,100
9900,-0.06,198,198,99,6,6
483,1.20,10,10,5,9,23
617,0.10,12,12,6,33,100
666,0.20,13,13,7,6,100
9900,0.14,198,198,99,8,14
1017,0.09,20,20,10,50,100
2467,-0.01,49,49,25,17,100
5300,0.07,106,106,53,17,100
3283,0.28,66,66,33,17,100
9900,0.14,198,198,99,4,14
9900,0.04,198,198,99,4,4
1650,0.09,33,33,17,67,100
583,0.10,12,12,6,67,100
2867,0.08,57,57,29,17,100
733,0.10,15,15,7,17,100
8050,1.25,161,161,81,7,1
9900,0.04,198,198,99,9,4
734,0.30,15,15,7,17,100
466,0.20,9,9,5,4,100
2084,-0.01,42,42,21,33,100
2133,0.09,43,43,21,1,100
1450,1.29,29,29,15,9,8
950,0.29,19,19,10,33,100
9900,0.34,198,198,99,9,34
1050,0.09,21,21,11,50,100
1050,0.09,21,21,11,67,100
1017,0.29,20,20,10,17,100
9900,-0.06,198,198,99,17,6
650,0.20,13,13,7,50,100
1350,0.29,27,27,14,17,100
1683,0.19,34,34,17,7,100
9900,0.14,198,198,99,8,14
3933,0.08,79,79,39,4,100
9900,0.24,198,198,99,7,24
2734,0.08,55,55,27,67,100
9900,0.34,198,198,99,8,34
400,0.20,8,8,4,17,100
4550,1.27,91,91,46,6,2
1983,0.09,40,40,20,50,100
533,0.00,11,11,5,83,100
1217,0.09,24,24,12,33,100
9900,0.14,198,198,99,33,14
7150,-0.04,143,143,72,17,100
9900,0.04,198,198,99,9,4
9900,0.04,198,198,99,8,4
4133,0.38,83,83,41,17,100
800,0.20,16,16,8,50,100
9900,0.14,198,198,99,10,14
3584,1.28,72,72,36,10,3
7466,0.36,149,149,75,17,100
867,0.09,17,17,9,50,100
9900,0.04,198,198,99,6,4
2417,0.39,48,48,24,9,100
2333,1.29,47,47,23,7,5
1533,1.29,31,31,15,10,7
650,0.30,13,13,7,6,100
9900,0.24,198,198,99,1,24
6084,0.26,122,122,61,5,100
8550,1.15,171,171,86,6,1
8816,0.45,176,176,88,2,100
9900,0.24,198,198,99,3,24
617,0.20,12,12,6,33,100
1100,1.29,22,22,11,9,10
7583,1.45,152,152,76,2,2
550,0.10,11,11,6,67,100
3000,0.08,60,60,30,5,100
1034,1.29,21,21,10,7,11
3000,1.28,60,60,30,3,4
516,0.10,10,10,5,50,100
4200,0.17,84,84,42,17,100
2350,0.19,47,47,24,33,100
9900,0.04,198,198,99,2,4
3000,1.18,60,60,30,6,4
200,1.20,4,4,2,3,55
1600,0.29,32,32,16,4,100
9900,0.04,198,198,99,5,4
534,0.30,11,11,5,7,100
666,0.10,13,13,7,33,100
9900,0.34,198,198,99,4,34
1650,1.29,33,33,17,6,7
1184,1.19,24,24,12,8,9
9900,0.14,198,198,99,17,14
9900,0.04,198,198,99,7,4
9900,0.04,198,198,99,2,4
4733,1.47,95,95,47,5,3
9900,0.24,198,198,99,8,24
3450,1.28,69,69,35,8,3
417,0.00,8,8,4,33,100
1716,0.29,34,34,17,33,100
384,1.20,8,8,4,2,29
3400,1.18,68,68,34,2,3
9900,0.14,198,198,99,6,14
866,0.19,17,17,9,50,100
9767,1.14,195,195,98,2,1
4450,1.67,89,89,45,9,3
483,0.00,10,10,5,67,100
334,0.10,7,7,3,67,100
8033,1.45,161,161,80,9,2
350,1.20,7,7,4,4,31
1300,1.19,26,26,13,3,8
9900,-0.06,198,198,99,10,6
433,0.20,9,9,4,50,100
1234,0.09,25,25,12,7,100
1066,1.19,21,21,11,9,10
717,0.20,14,14,7,50,100
9900,0.44,198,198,99,2,44
5450,0.17,109,109,55,2,100
9900,0.04,198,198,99,8,4
9900,0.44,198,198,99,9,44
9900,0.04,198,198,99,6,4
133,1.20,3,3,1,9,82
4300,0.47,86,86,43,3,100
700,1.20,14,14,7,5,16
9900,0.14,198,198,99,9,14
3567,1.58,71,71,36,2,4
9900,0.34,198,198,99,8,34
6167,1.36,123,123,62,2,2
5516,0.47,110,110,55,8,100
5134,1.37,103,103,51,8,2
966,0.29,19,19,10,33,100
1217,0.29,24,24,12,33,100
783,1.30,16,16,8,5,15
9900,0.44,198,198,99,8,44
9900,0.24,198,198,99,17,24
6767,1.26,135,135,68,10,2
9900,0.14,198,198,99,6,14
3033,0.38,61,61,30,9,100
9900,0.24,198,198,99,3,24
9900,0.24,198,198,99,17,24
9900,-0.06,198,198,99,2,6
1567,0.39,31,31,16,4,100
1550,0.29,31,31,16,17,100
3850,1.68,77,77,39,5,3
2000,1.39,40,40,20,5,6
9900,0.14,198,198,99,5,14
9900,0.14,198,198,99,17,14
300,0.00,6,6,3,83,100
783,0.20,16,16,8,5,100
9900,0.14,198,198,99,4,14
4200,1.27,84,84,42,5,3
817,0.30,16,16,8,17,100
3200,1.28,64,64,32,5,4
817,1.30,16,16,8,10,14
700,0.20,14,14,7,17,100
983,0.19,20,20,10,33,100
8650,1.35,173,173,87,7,1
517,0.20,10,10,5,33,100
9900,0.04,198,198,99,2,4
616,0.20,12,12,6,33,100
1000,1.39,20,20,10,8,12
2217,0.29,44,44,22,33,100
9733,0.34,195,195,97,2,100
4634,0.17,93,93,46,17,100
1616,1.69,32,32,16,9,8
4717,1.37,94,94,47,9,3
7950,0.45,159,159,80,7,100
6250,1.36,125,125,63,4,2
2900,1.18,58,58,29,4,4
750,0.30,15,15,8,5,100
9900,0.44,198,198,99,2,44
9900,0.44,198,198,99,6,44
9900,-0.06,198,198,99,17,6
9900,0.14,198,198,99,7,14
9900,0.44,198,198,99,3,44
9900,0.34,198,198,99,4,34
9900,0.54,198,198,99,8,54
9200,1.34,184,184,92,10,1
9900,0.34,198,198,99,9,34
5467,1.67,109,109,55,7,2
516,0.20,10,10,5,33,100
2500,1.39,50,50,25,2,5
3650,0.38,73,73,37,5,100
8550,1.15,171,171,86,3,1
9900,0.14,198,198,99,7,14
9900,-0.06,198,198,99,6,6
3850,0.38,77,77,39,9,100
8284,1.15,166,166,83,9,1
9900,0.04,198,198,99,2,4
9900,0.04,198,198,99,2,4
200,0.20,4,4,2,17,100
4233,1.47,85,85,42,6,3
500,0.20,10,10,5,17,100
9900,0.04,198,198,99,4,4
9900,0.04,198,198,99,9,4
217,1.20,4,4,2,9,51
9900,-0.06,198,198,99,6,6
9900,0.24,198,198,99,33,24
9900,0.34,198,198,99,4,34
1133,0.19,23,23,11,33,100
317,0.20,6,6,3,4,100
650,0.20,13,13,7,50,100
1333,0.19,27,27,13,2,100
9900,0.34,198,198,99,4,34
9900,0.24,198,198,99,5,24
417,0.10,8,8,4,50,100
9900,0.04,198,198,99,2,4
9900,0.24,198,198,99,17,24
400,0.10,8,8,4,67,100
9900,-0.06,198,198,99,9,6
9900,0.14,198,198,99,9,14
1233,1.29,25,25,12,6,9
633,1.20,13,13,6,10,17
9900,0.44,198,198,99,2,44
9900,0.44,198,198,99,5,44
1617,0.49,32,32,16,7,100
717,0.20,14,14,7,50,100
433,0.20,9,9,4,50,100
333,0.10,7,7,3,5,100
6634,1.26,133,133,66,3,2
366,0.10,7,7,4,17,100
300,0.20,6,6,3,17,100
884,0.19,18,18,9,1,100
9900,0.14,198,198,99,4,14
