Setp Count,Reward,Steps Time,Time to MaxSetp
1433,1.4914,28.66699,28.66699
317,0.09809998,6.333008,6.333008
400,0.1975,8,8
2150,0.1871,43,43
1000,0.194,20,20
6733,0.3596016,134.667,134.667
817,0.09509992,16.33301,16.33301
633,0.09609997,12.66699,12.66699
1050,1.3936,21.00781,21.00781
9600,1.342405,192,192
650,0.09599995,13.00781,13.00781
300,0.1981,6.007813,6.007813
1783,-0.01079999,35.67383,35.67383
400,0.09759998,8,8
4284,0.1742996,85.66602,85.66602
366,-0.0023,7.333984,7.333984
500,0.1969,10.01367,10.01367
667,0.196,13.33398,13.33398
883,1.3946,17.67383,17.67383
700,0.1958,14,14
5650,0.3660042,113.0137,113.0137
584,0.1964,11.67969,11.67969
4216,1.2747,84.33398,84.33398
467,0.2971002,9.347656,9.347656
8900,1.246499,178.0078,178.0078
1917,1.2885,38.33203,38.33203
333,0.09799998,6.667969,6.667969
7933,1.552405,158.666,158.666
234,-0.0014,4.666016,4.666016
5766,1.465402,115.334,115.334
6500,1.260999,130,130
7100,1.357405,142,142
417,0.09749997,8.333984,8.333984
1217,0.2927001,24.33203,24.33203
1566,1.390601,31.33398,31.33398
9867,1.540804,197.334,197.334
450,0.09729997,9,9
867,0.1946999,17.33984,17.33984
650,0.196,13,13
666,0.196,13.33398,13.33398
567,0.3966003,11.33398,11.33398
400,0.09749998,8.007813,8.007813
417,0.09749998,8.332031,8.332031
2033,1.2878,40.66797,40.66797
917,1.2945,18.33203,18.33203
450,0.1973,9,9
416,0.09749997,8.333984,8.333984
250,0.1985,5,5
400,1.2975,8.013672,8.013672
400,0.2976,8,8
367,0.1978,7.333984,7.333984
7617,1.254299,152.332,152.332
7933,1.352403,158.668,158.668
3567,1.3785,71.33984,71.33984
3833,1.277,76.66797,76.66797
5717,1.365703,114.332,114.332
316,0.09809999,6.333984,6.333984
5300,1.368101,106.0137,106.0137
3484,1.379,69.67969,69.67969
583,0.1964,11.66797,11.66797
6517,1.360903,130.332,130.332
1766,1.489401,35.33398,35.33398
317,0.198,6.347656,6.347656
317,0.09809998,6.332031,6.332031
4616,1.372202,92.33398,92.33398
6034,1.2637,120.6797,120.6797
350,-0.002099999,7,7
400,0.09759998,8,8
783,0.09529994,15.66797,15.66797
583,0.1964,11.67383,11.67383
817,0.09499994,16.34766,16.34766
2483,1.285,49.67383,49.67383
300,0.09809997,6.013672,6.013672
650,0.3960003,13.01367,13.01367
2000,0.1879998,40,40
1250,1.2925,25,25
2334,0.3860013,46.66602,46.66602
500,0.1969,10,10
5566,0.2665004,111.334,111.334
534,0.1967,10.68164,10.68164
9616,1.442202,192.334,192.334
750,0.1953999,15.01563,15.01563
5400,1.2676,108,108
267,-0.0016,5.333984,5.333984
500,0.2970002,10,10
2883,1.582601,57.67383,57.67383
1034,1.3938,20.66602,20.66602
450,0.1973,9,9
2266,1.486302,45.33594,45.33594
2867,0.2828005,57.33203,57.33203
8533,1.248799,170.668,170.668
534,-0.0033,10.67969,10.67969
1466,1.391201,29.33594,29.33594
317,0.09799997,6.347656,6.347656
233,0.09859999,4.667969,4.667969
250,0.1985,5,5
7600,0.1543992,152,152
667,0.2959,13.34766,13.34766
1133,0.1930999,22.67578,22.67578
1217,1.392601,24.34766,24.34766
2183,0.1867998,43.67578,43.67578
4917,0.2704023,98.34766,98.34766
3450,0.279202,69.00781,69.00781
9000,0.2460045,180,180
1083,0.2935001,21.66797,21.66797
434,0.09739996,8.664063,8.664063
600,0.1963,12,12
683,0.2959003,13.66797,13.66797
617,0.1961999,12.33984,12.33984
1233,1.392601,24.66797,24.66797
550,0.1966999,11,11
3517,1.3789,70.33203,70.33203
800,0.1950999,16,16
2833,0.08290002,56.66797,56.66797
2400,1.2856,48,48
750,0.09549998,15,15
5800,1.2652,116,116
6600,0.06039974,132,132
2783,0.08329973,55.66797,55.66797
1317,0.3921004,26.33203,26.33203
3417,1.379502,68.33203,68.33203
450,1.2973,9,9
3016,1.481902,60.33594,60.33594
7534,1.454705,150.6797,150.6797
6500,1.361001,130,130
283,0.09819997,5.667969,5.667969
2617,1.2843,52.33203,52.33203
5083,1.2694,101.668,101.668
9033,0.2458059,180.668,180.668
4150,1.2751,83,83
750,0.09539993,15.01563,15.01563
317,-0.001899999,6.332031,6.332031
517,0.1969,10.33203,10.33203
400,0.1976,8,8
2383,0.2856999,47.66797,47.66797
8633,1.448103,172.6758,172.6758
584,0.1965,11.66406,11.66406
783,0.09529994,15.66797,15.66797
4433,0.473303,88.67578,88.67578
784,0.1952999,15.66406,15.66406
6583,0.260403,131.668,131.668
717,0.2957002,14.33203,14.33203
1100,1.2933,22,22
5266,1.468403,105.3359,105.3359
1967,0.2882001,39.33203,39.33203
3983,1.376101,79.66797,79.66797
8167,1.350906,163.3477,163.3477
9833,1.340906,196.6758,196.6758
4200,1.4748,84,84
784,0.1951999,15.67969,15.67969
3550,1.2786,71,71
5616,1.266199,112.3359,112.3359
550,0.09669997,11,11
317,0.09799997,6.347656,6.347656
583,0.1964999,11.66797,11.66797
4867,0.1706995,97.34766,97.34766
1983,0.1880998,39.66797,39.66797
5267,1.268399,105.332,105.332
2267,0.08639979,45.33203,45.33203
4650,1.2721,93,93
4016,0.3758017,80.33594,80.33594
417,-0.0025,8.332031,8.332031
1350,0.2919006,27,27
3850,1.2768,77.00781,77.00781
2467,0.08509976,49.33984,49.33984
550,0.1967,11,11
5316,1.368103,106.3359,106.3359
2567,1.484601,51.33203,51.33203
2050,1.3877,41,41
650,0.1961,13,13
717,0.09559996,14.33984,14.33984
933,0.2943,18.66797,18.66797
1950,1.2883,39,39
867,0.3948005,17.33203,17.33203
2816,0.2831018,56.33594,56.33594
1184,0.2927999,23.67969,23.67969
1200,0.1927999,24,24
1116,1.2933,22.33594,22.33594
467,0.1972,9.332031,9.332031
817,-0.004899999,16.33203,16.33203
366,0.1978,7.335938,7.335938
1517,0.2909001,30.33203,30.33203
400,0.09759998,8,8
4450,0.4732033,89.00781,89.00781
1183,0.2928001,23.67578,23.67578
5934,1.464304,118.6797,118.6797
1100,1.2934,22,22
2700,1.2838,54,54
9150,1.545106,183,183
833,0.1949999,16.66797,16.66797
1183,0.09279989,23.67578,23.67578
4850,1.2708,97.01563,97.01563
1067,1.2935,21.34766,21.34766
1017,0.3939006,20.33203,20.33203
866,0.1947999,17.33594,17.33594
4517,1.2729,90.33203,90.33203
1967,0.4882012,39.33203,39.33203
1400,0.1915999,28,28
1216,0.3927006,24.33594,24.33594
784,0.1951999,15.67969,15.67969
733,0.1955,14.66797,14.66797
433,0.1974,8.667969,8.667969
567,0.1965,11.34766,11.34766
550,0.2967001,11,11
383,0.09769998,7.667969,7.667969
517,0.1968,10.34766,10.34766
1333,0.3919004,26.67578,26.67578
1067,0.3935007,21.34766,21.34766
6083,1.363502,121.668,121.668
1617,1.590201,32.34766,32.34766
8350,1.549806,167.0078,167.0078
200,-0.0013,4.007813,4.007813
800,0.1950999,16.00781,16.00781
2183,0.3868007,43.67578,43.67578
950,1.2943,19,19
6617,1.3602,132.3477,132.3477
867,0.3948005,17.33203,17.33203
633,0.1961999,12.66797,12.66797
1000,0.1939999,20,20
3067,1.481602,61.33203,61.33203
7066,1.257499,141.3359,141.3359
3850,1.2768,77.01563,77.01563
850,0.1949,17,17
6750,1.359401,135.0156,135.0156
250,1.2985,5,5
400,0.1976,8,8
2184,1.2868,43.67969,43.67969
6133,1.363204,122.668,122.668
1000,0.1939999,20,20
1367,1.3918,27.33203,27.33203
2333,0.385901,46.66797,46.66797
1683,1.2899,33.66797,33.66797
3217,0.2807001,64.33203,64.33203
2617,1.384202,52.33984,52.33984
450,0.2972003,9,9
816,1.2951,16.33594,16.33594
384,1.3977,7.664063,7.664063
5116,1.369302,102.3359,102.3359
434,0.1974,8.664063,8.664063
716,1.4956,14.33594,14.33594
4317,1.474102,86.33203,86.33203
3983,1.276,79.67578,79.67578
5917,1.464504,118.332,118.332
8483,1.249099,169.668,169.668
8384,1.3497,167.6641,167.6641
6733,0.4596008,134.668,134.668
2083,0.3875007,41.66797,41.66797
834,0.1949999,16.66406,16.66406
950,0.1942999,19,19
700,0.2957003,14,14
9983,1.440003,199.668,199.668
