Setp Count,Reward,Steps Time,Time to MaxSetp
1484,-0.008999992,29.66667,29.66667
3867,-0.02319997,77.33333,77.33333
1700,-0.01019999,34,34
1483,0.09109996,29.66667,29.66667
7267,0.2564031,145.3333,145.3333
1450,0.09129988,29,29
1116,-0.006699996,22.33334,22.33334
3067,0.08159982,61.33334,61.33334
3283,0.1802997,65.66666,65.66666
1450,-0.008699993,29.00003,29.00003
1250,-0.007499995,25,25
2517,0.08489989,50.33331,50.33331
1400,-0.008399993,28,28
2183,0.3869013,43.66669,43.66669
567,-0.0034,11.33331,11.33331
1500,-0.008999992,30,30
950,-0.005699998,19,19
9900,0.040599,198,198
383,-0.0023,7.666687,7.666687
817,-0.004899999,16.33331,16.33331
1550,-0.009299992,31,31
9900,0.2406047,198.0001,198.0001
1583,-0.009499991,31.66663,31.66663
1184,0.0928999,23.66663,23.66663
866,0.1947999,17.33337,17.33337
1534,-0.009199992,30.66663,30.66663
3083,0.1814997,61.66675,61.66675
1567,-0.009399991,31.33325,31.33325
1000,0.09399991,20,20
2783,-0.01669998,55.66675,55.66675
550,-0.0033,11,11
1233,0.1925999,24.66663,24.66663
1384,-0.008299993,27.66663,27.66663
4750,0.07149985,95,95
383,0.09769998,7.666748,7.666748
1700,-0.01019999,34,34
9900,0.140599,198,198
9900,0.140599,198,198
1200,0.09279989,24,24
667,0.2960002,13.33325,13.33325
900,-0.005399998,18,18
1416,0.09149988,28.3335,28.3335
9900,0.140599,198,198
600,0.09639995,12,12
3334,-0.01999997,66.6665,66.6665
4983,0.1700995,99.66675,99.66675
683,-0.0041,13.66675,13.66675
650,-0.003900001,13,13
334,-0.001999999,6.666504,6.666504
1583,0.09049985,31.66675,31.66675
700,0.09579997,14,14
9900,0.04059935,198,198
4933,0.1703997,98.66675,98.66675
2817,0.1830998,56.33325,56.33325
6033,1.3638,120.6667,120.6667
1634,0.09019984,32.6665,32.6665
4350,0.1738997,87,87
9900,0.440607,198,198
9900,0.140599,198,198
9816,0.2411035,196.3335,196.3335
1917,1.488501,38.33325,38.33325
3750,1.377501,75,75
1800,0.08919983,36,36
